time,open,high,low,close,All Confimed,MAMA,FAMA,KAMA,Buy Signal,Sell Signal,ICHI BUY,ICHI SELL,5in1 → BULL,5in1 → BEAR,FINAL LONG,FINAL SHORT,GRACE LONG,GRACE SHORT,ADX
1755381600,117436.5,117549.9,117211.9,117459.4,,117693.1764248993,118284.21181742831,119006.01277437001,0,0,0,0,0,0,0,0,0,0,22.611551978035603
1755385200,117459.4,117473.2,117271.5,117375,,117685.42373015877,118276.91677466025,119005.067887713,0,0,0,0,0,0,0,0,0,0,23.05139857601333
1755388800,117375,117431.3,117251.9,117254.5,,117675.00394310667,118269.63961272905,119004.27689625081,0,0,0,0,0,0,0,0,0,0,23.328073076886366
1755392400,117254.5,117494.8,117189.8,117439.5,,117658.69739821444,118248.48846656113,118997.28530430795,0,0,0,0,0,0,0,0,0,0,23.51221557533618
1755396000,117439.5,117629.9,117377.3,117606.4,,117658.22817121905,118245.84047570165,118997.18315629654,0,0,0,0,0,0,0,0,0,0,23.616708692018854
1755399600,117606.4,117767.2,117501.9,117683.4,,117658.3240317303,118244.72177218634,118997.1648215402,0,0,0,0,0,0,0,0,0,0,23.09052508458844
1755403200,117683.4,118195,117683.3,118076.8,,117665.82242841358,118239.53531316786,118996.91989932279,0,0,0,0,0,0,0,0,0,0,23.14058059393808
1755406800,118076.8,118234.1,117994.3,118004.3,,117676.07910075822,118230.99828407586,118996.2637121825,0,0,0,0,0,0,0,0,0,0,23.51641491454552
1755410400,118004.3,118110.1,117900.6,117926.6,,117681.92995616444,118224.58660464219,118995.80857537579,0,0,0,0,0,0,0,0,0,0,23.406824125913065
1755414000,117926.6,118044.2,117843.4,118008.9,,117768.79761756244,118164.04080825343,118943.42702003293,0,0,0,0,0,0,0,0,0,0,22.906387703415326
1755417600,118008.9,118390.1,117923.3,118370.4,,117784.93742549072,118158.95550942369,118943.1178140248,0,0,0,0,0,0,0,0,0,0,23.54735307137472
1755421200,118370.4,118494.3,118230.1,118340.9,,117802.44044694089,118153.34353923716,118942.69405475738,0,0,0,0,0,0,0,0,0,0,24.542383262755443
1755424800,118340.9,118390,118175.8,118390,,117819.21367964936,118148.57428830717,118942.36304311214,0,0,0,0,0,0,0,0,0,0,24.73795018760448
1755428400,118390,118390,118265,118305.8,,117833.37695269287,118143.98699748107,118941.96927975332,0,0,0,0,0,0,0,0,0,0,24.582700308093738
1755432000,118305.8,118351.3,118130.2,118161.9,,117894.77468736345,118120.69932950973,118919.57720117418,0,0,0,0,0,0,0,0,0,0,23.02486222722472
1755435600,118161.9,118581.6,118067.5,118440.8,,118058.55155378734,118111.37891182261,118888.45433196428,0,0,0,0,0,0,0,0,0,0,22.263141958627823
1755439200,118440.8,118478,118149.8,118155.8,,118060.18383306655,118110.94926657117,118888.281116554,0,0,0,0,0,0,0,0,0,0,21.43942635068035
1755442800,118155.8,118271,118136.9,118244.3,,118063.99594139568,118110.46318442814,118888.05924758728,0,0,0,0,0,0,0,0,0,0,20.997740658435085
