iteration,sharpe,return,max_dd,actual_sharpe,p_value
1,0.0673595051098707,0.3160481948927707,-0.061901503665105495,2.3527927588285036,0.001
2,-0.3909036513788726,-2.611621686415233,-0.08982467895822843,2.3527927588285036,0.001
3,0.801758747783227,5.505475506039859,-0.05318762447276926,2.3527927588285036,0.001
4,-0.4843189704307449,-3.353779752422925,-0.07508904634543745,2.3527927588285036,0.001
5,-0.46252948146189976,-3.099256660723382,-0.07545625843630244,2.3527927588285036,0.001
6,0.7808440823769218,5.158856366074427,-0.03474557711865811,2.3527927588285036,0.001
7,-0.20200871007748472,-1.2767545521587986,-0.06624526257226093,2.3527927588285036,0.001
8,-0.6276108978294568,-4.410441676242572,-0.08932207102755152,2.3527927588285036,0.001
9,-0.07328413982848694,-0.5009575429432922,-0.07167532159877055,2.3527927588285036,0.001
10,-0.6231342320549895,-4.044354423534912,-0.08832385692688571,2.3527927588285036,0.001
11,-0.9585519674585524,-5.637793266990954,-0.0949350400063359,2.3527927588285036,0.001
12,0.031887690705540185,0.09894724562662383,-0.05602622056045048,2.3527927588285036,0.001
13,-0.4430664089361443,-2.7321347313403743,-0.08250231921543305,2.3527927588285036,0.001
14,0.24536816679340856,1.3534803227964298,-0.045543349732172,2.3527927588285036,0.001
15,-1.2532376129002711,-7.3119673511294,-0.0951437582844642,2.3527927588285036,0.001
16,0.7867625687188649,4.544470926372801,-0.04182756838155355,2.3527927588285036,0.001
17,-0.6707200590781687,-4.0400853104567425,-0.0887545180385565,2.3527927588285036,0.001
18,-0.4138404894363275,-2.731698806532168,-0.06715749009687577,2.3527927588285036,0.001
19,1.467736360750826,8.29099392820245,-0.04298331468171579,2.3527927588285036,0.001
20,-1.0069963879458241,-7.217888118046545,-0.10647814268689038,2.3527927588285036,0.001
21,-0.6327240906275589,-4.613327154277269,-0.11366586979210869,2.3527927588285036,0.001
22,0.37541927094733485,2.261689390460875,-0.04812204824741506,2.3527927588285036,0.001
23,1.2509988494867124,7.577652959191483,-0.06590469103919883,2.3527927588285036,0.001
24,-0.24019880470199698,-1.6531811942491759,-0.06577650362341614,2.3527927588285036,0.001
25,0.014925511624347172,-0.0004663965794682312,-0.07302170341462921,2.3527927588285036,0.001
26,1.3737957225691781,8.277536034083543,-0.04613775164437406,2.3527927588285036,0.001
27,-0.34663979595800376,-2.2439391070723236,-0.06313339881762225,2.3527927588285036,0.001
28,-0.409753538937473,-2.6078153367738555,-0.06475046912341709,2.3527927588285036,0.001
29,0.9711442685243514,4.902909791274768,-0.037380705440553386,2.3527927588285036,0.001
30,-0.13276489502973124,-0.8643629010639087,-0.0426989879902997,2.3527927588285036,0.001
31,-0.600185588219056,-3.6070240858153024,-0.07866862295824517,2.3527927588285036,0.001
32,-0.0992218342934788,-0.6377395473895708,-0.05477382398362651,2.3527927588285036,0.001
33,-0.8589376388211396,-4.791989029124688,-0.06387414519188672,2.3527927588285036,0.001
34,0.4544550157502459,2.7823653987083974,-0.05734912195635733,2.3527927588285036,0.001
35,0.43425825239054644,2.447923198371127,-0.0692771609894377,2.3527927588285036,0.001
36,-0.8166010386858362,-4.835279507155699,-0.08689461929350695,2.3527927588285036,0.001
37,0.35127379611109844,1.998267797759845,-0.04414017003702553,2.3527927588285036,0.001
38,-0.6988366354754226,-3.9974235922358825,-0.07091739372106087,2.3527927588285036,0.001
39,0.4242625787362971,2.4566092648274696,-0.03813168218921992,2.3527927588285036,0.001
40,0.01698133173108435,0.013453668250340556,-0.05117849394759588,2.3527927588285036,0.001
41,0.5363569829371116,2.9425420840832883,-0.050060411783071634,2.3527927588285036,0.001
42,0.6347494101693859,3.679729407660637,-0.032731790102754954,2.3527927588285036,0.001
43,0.028719993972316345,0.081416031634296,-0.06827148855530485,2.3527927588285036,0.001
44,-0.5447964687603479,-3.0175008611096232,-0.07666958964550796,2.3527927588285036,0.001
45,0.5159779255798692,3.3500766319947584,-0.039890805462707846,2.3527927588285036,0.001
46,0.9797407723176027,5.64732757920261,-0.047981122854388825,2.3527927588285036,0.001
47,-0.372637999859532,-2.2815643465186275,-0.08089975648751713,2.3527927588285036,0.001
48,0.13093300995121765,0.6526866431263212,-0.042061142089641734,2.3527927588285036,0.001
49,-0.9793558723732154,-5.81456277179766,-0.07894067552408879,2.3527927588285036,0.001
50,0.7634923274928711,4.658140801970667,-0.06807978258116576,2.3527927588285036,0.001
51,0.38009542251096734,2.0860262486281256,-0.03892725122251639,2.3527927588285036,0.001
52,-0.38576841550461743,-2.4908735850052266,-0.0726727689877773,2.3527927588285036,0.001
53,-0.6181498623879054,-3.8996351154444,-0.07064341620256942,2.3527927588285036,0.001
54,1.2193592732918714,7.817918720798023,-0.0466886170296128,2.3527927588285036,0.001
55,-0.728449907363805,-4.536520974113268,-0.08002650226475738,2.3527927588285036,0.001
56,0.9956258866558395,5.439872925824885,-0.042973930661723725,2.3527927588285036,0.001
57,-0.32436340932542007,-2.1528421879716153,-0.08661868535391737,2.3527927588285036,0.001
58,1.1358078641559357,7.248228281809688,-0.05292284908875988,2.3527927588285036,0.001
59,0.2458322337233837,1.3865645233880342,-0.05277307831509592,2.3527927588285036,0.001
60,0.8537202784643648,5.305293493545293,-0.03735637605800801,2.3527927588285036,0.001
61,0.882871071698353,5.468783990878867,-0.047705621703507006,2.3527927588285036,0.001
62,0.43557159881663443,2.4516459316330064,-0.033477993725958166,2.3527927588285036,0.001
63,-0.4561981143830531,-2.946863248995013,-0.08664306162817959,2.3527927588285036,0.001
64,1.1630320705941923,6.362451755836274,-0.061634993777638036,2.3527927588285036,0.001
65,0.4907165877261495,3.0534713334405605,-0.042700857641341794,2.3527927588285036,0.001
66,1.3634254941874944,8.8769466924155,-0.051091594965765874,2.3527927588285036,0.001
67,0.18522569889780935,1.0530405068935655,-0.0716496065166694,2.3527927588285036,0.001
68,0.6403169442640082,3.9115079169647293,-0.04336429992967983,2.3527927588285036,0.001
69,0.07361577158227775,0.3716939840913147,-0.08077667825399415,2.3527927588285036,0.001
70,0.030199344199093574,0.0895593522775684,-0.041129610668518723,2.3527927588285036,0.001
71,1.6301986459932403,10.279996974738959,-0.04149685366389255,2.3527927588285036,0.001
72,0.2513403950041955,1.5840799183618914,-0.05410031857018538,2.3527927588285036,0.001
73,0.10469543264714025,0.5455858155082316,-0.06070214026073839,2.3527927588285036,0.001
74,-1.4356735036798287,-8.823054347664927,-0.14704761046584036,2.3527927588285036,0.001
75,-0.14817467727874725,-1.0401697568568125,-0.054116835604832714,2.3527927588285036,0.001
76,0.5281028421670622,3.2324035398878737,-0.050459819131197126,2.3527927588285036,0.001
77,-0.5556135898799744,-3.2637953112761853,-0.08880584573005301,2.3527927588285036,0.001
78,-0.6623947977672145,-4.321438903528929,-0.09758480709962614,2.3527927588285036,0.001
79,-0.15903541066113025,-1.0598772399538992,-0.06945320926621734,2.3527927588285036,0.001
80,0.6647975747069002,4.3169279434611685,-0.052407071839792096,2.3527927588285036,0.001
81,-0.8241929989467554,-4.728476851916696,-0.08459507033988356,2.3527927588285036,0.001
82,0.4596417479832213,2.5815490405994845,-0.05010537968890372,2.3527927588285036,0.001
83,1.1820557564321519,7.262261040657769,-0.035706249369337306,2.3527927588285036,0.001
84,0.49905414035048273,3.0180993238964504,-0.05608513211473354,2.3527927588285036,0.001
85,-0.3773209002375284,-2.616339992067185,-0.07597918804321013,2.3527927588285036,0.001
86,0.7133105726913027,4.573244732678372,-0.04638091898963881,2.3527927588285036,0.001
87,1.266380325469474,6.88368555797223,-0.038229661750970534,2.3527927588285036,0.001
88,1.317048085770786,8.091334778664505,-0.04305135444632713,2.3527927588285036,0.001
89,1.5748561763967868,9.060937899935318,-0.027920590610147622,2.3527927588285036,0.001
90,1.1355632077280768,6.728047795602987,-0.057982685008870605,2.3527927588285036,0.001
91,-0.06624407782545937,-0.5556580375358,-0.054574319154892637,2.3527927588285036,0.001
92,-0.14117587621638697,-1.03764510967701,-0.06567768169705723,2.3527927588285036,0.001
93,0.6250983044952412,3.217584215782665,-0.05022760841307372,2.3527927588285036,0.001
94,-0.5023705581630639,-3.3298285176521336,-0.07687649832551613,2.3527927588285036,0.001
95,-0.15945772481029322,-1.045321204182803,-0.04139972915149481,2.3527927588285036,0.001
96,0.08769305924320041,0.41842761998549527,-0.0668191070687163,2.3527927588285036,0.001
97,-1.3006665724780189,-9.023946382281379,-0.11361903201462331,2.3527927588285036,0.001
98,0.42881428717973274,2.6129498095798898,-0.043116380435015866,2.3527927588285036,0.001
99,-0.6252679630592374,-3.970372591443505,-0.07698870023236948,2.3527927588285036,0.001
