iteration,sharpe,return,max_dd,actual_sharpe,p_value
1,-1.416194883561551,-19.188545763185306,-0.19997169821739813,1.0933140389602762,0.012
2,0.3282860818631639,3.997889528455101,-0.09864671743519637,1.0933140389602762,0.012
3,0.0008591770999884043,-0.227038431782689,-0.0727421468835675,1.0933140389602762,0.012
4,-1.8630067809978117,-28.516004131244898,-0.31141128487040415,1.0933140389602762,0.012
5,-0.9067902171858909,-12.714331289184177,-0.18712388206190322,1.0933140389602762,0.012
6,0.0692082803278339,0.4509917253516793,-0.11476383576431204,1.0933140389602762,0.012
7,-1.5046855760439406,-16.077493923782093,-0.22095835751593051,1.0933140389602762,0.012
8,-0.8613981062528623,-9.59973034567916,-0.1840733232230406,1.0933140389602762,0.012
9,-1.6668725492215146,-22.02151198387248,-0.24165950797153468,1.0933140389602762,0.012
10,-0.6297839750361595,-7.69114924675981,-0.16973022816964733,1.0933140389602762,0.012
11,-0.05390741776869777,-1.0508010774666787,-0.09935652551640295,1.0933140389602762,0.012
12,-0.5475430437459651,-5.745268261252079,-0.1339892860455394,1.0933140389602762,0.012
13,-1.3730225627187107,-14.539257373410875,-0.18068914995157348,1.0933140389602762,0.012
14,0.18784822974984725,3.0685137652420647,-0.14586805957142412,1.0933140389602762,0.012
15,0.18305533771961588,2.0025616658188916,-0.09068962550564141,1.0933140389602762,0.012
16,-1.247949598377332,-16.23069362866548,-0.2125900792578087,1.0933140389602762,0.012
17,-2.0726637941976875,-24.272642060355288,-0.2778302005278789,1.0933140389602762,0.012
18,-0.39657218134873756,-6.278616229384237,-0.19060055100249385,1.0933140389602762,0.012
19,-0.9802024124940208,-11.26515739381766,-0.16483014259308626,1.0933140389602762,0.012
20,-0.41098827864553095,-5.085875129696705,-0.11937175296657665,1.0933140389602762,0.012
21,1.2105473547799221,15.080569147624768,-0.05097162691254342,1.0933140389602762,0.012
22,-0.051788910335696894,-0.7784931988910615,-0.09634553944656099,1.0933140389602762,0.012
23,-1.0505499189644394,-11.626649893112395,-0.14294420037860034,1.0933140389602762,0.012
24,-0.21811025171798157,-3.506612350291727,-0.14951110189803074,1.0933140389602762,0.012
25,-0.3493828960568758,-3.683428756361462,-0.1113125241550037,1.0933140389602762,0.012
26,-0.015531029978400416,-0.5627983278988946,-0.13563181363807586,1.0933140389602762,0.012
27,-0.7032005634119007,-8.094599204699737,-0.1463578455770419,1.0933140389602762,0.012
28,-0.1115768270690346,-1.9271187141489232,-0.13877182853793846,1.0933140389602762,0.012
29,0.8829196098190283,9.387185621045745,-0.06759192154112925,1.0933140389602762,0.012
30,-0.9907987725088232,-11.066356543825773,-0.16966735777476782,1.0933140389602762,0.012
31,-1.7016939871220143,-17.684101875498815,-0.21689235447747024,1.0933140389602762,0.012
32,-0.15566052708032183,-2.2837284830106164,-0.12266479552958631,1.0933140389602762,0.012
33,-1.3137846809829288,-14.25665183408994,-0.19176457130859614,1.0933140389602762,0.012
34,0.7547127811153828,18.207679124432865,-0.05625690176053422,1.0933140389602762,0.012
35,-0.487909791368399,-6.825237275727591,-0.14825752732256836,1.0933140389602762,0.012
36,-0.9672672606230208,-11.337978375976965,-0.1324792687096894,1.0933140389602762,0.012
37,-1.485672420546257,-18.5151919599977,-0.22317246942638014,1.0933140389602762,0.012
38,-0.2587666389341815,-2.740187940150296,-0.08552171562375854,1.0933140389602762,0.012
39,-1.009925240778838,-11.686703489425021,-0.16438845148797343,1.0933140389602762,0.012
40,-0.9937952168043326,-13.003210843064538,-0.21347442709110853,1.0933140389602762,0.012
41,-0.24663820696581434,-3.265525862500307,-0.1259714335519,1.0933140389602762,0.012
42,0.4775394162983335,5.965806208786262,-0.09347069938404295,1.0933140389602762,0.012
43,-0.44250852127338886,-6.460010239175206,-0.16981197023784889,1.0933140389602762,0.012
44,-1.9717383101947312,-22.271584953750267,-0.25521209467872497,1.0933140389602762,0.012
45,0.7302005201882813,8.11355512478733,-0.07344101833021355,1.0933140389602762,0.012
46,0.37012150870680777,3.9580815729411745,-0.09441017686091802,1.0933140389602762,0.012
47,-0.0515953678571698,-0.7882486323863458,-0.10827900630335752,1.0933140389602762,0.012
48,-1.1313143732448199,-13.714719987265344,-0.19907886301491218,1.0933140389602762,0.012
49,-0.5971296588190067,-6.011232046019199,-0.12560559997484744,1.0933140389602762,0.012
50,1.1804271358563512,13.919336998641828,-0.09809781248648841,1.0933140389602762,0.012
51,-0.8726318111911111,-13.600901450177972,-0.20115166725586797,1.0933140389602762,0.012
52,-0.7740646887918502,-11.421640968073133,-0.18807125923278734,1.0933140389602762,0.012
53,-0.2889984620688901,-5.248254560594889,-0.12976559717198166,1.0933140389602762,0.012
