tenkan,kijun,tenkan_5,kijun_5,sharpe,return,max_dd,trades,mean_sharpe,std_sharpe,variance_pct
3,24,10,20,0.7851326184530578,8.384001828937171,-5.503690581879328,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,10,21,0.7851326184530578,8.384001828937171,-5.503690581879328,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,10,22,0.7268325050359064,7.734577543539811,-5.537278043210447,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,10,23,0.7265339075083985,7.731244215338862,-5.537900080201419,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,10,24,0.7265339075083985,7.731244215338862,-5.537900080201419,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,11,20,0.706162656789734,7.508123651248755,-5.503795864405392,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,11,21,0.706162656789734,7.508123651248755,-5.503795864405392,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,11,22,0.6477964013190669,6.858699365851417,-5.537384614688756,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,11,23,0.6474973709321109,6.8553660376504455,-5.538006666484141,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,11,24,0.6474973709321109,6.8553660376504455,-5.538006666484141,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,12,20,0.936025231820937,9.984374148250886,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,12,21,0.936025231820937,9.984374148250886,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,12,22,0.8774289696082113,9.334949862853525,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,12,23,0.877129323825095,9.331616534652575,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,12,24,0.877129323825095,9.331616534652575,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,13,20,0.764859019451932,8.134214659870587,-5.067116312801723,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,13,21,0.764859019451932,8.134214659870587,-5.067116312801723,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,13,22,0.8406958392020075,9.00240756091668,-5.0815525614488655,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,13,23,0.8403978968019498,8.999074232715731,-5.082167576915275,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,13,24,0.8403978968019498,8.999074232715731,-5.082167576915275,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,14,20,0.5143763550565534,5.317440572985244,-6.23095996411962,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,14,21,0.5143763550565534,5.317440572985244,-6.23095996411962,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,14,22,0.45513567391275733,4.668016287587884,-6.269303052751818,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,14,23,0.4548319119473877,4.664682959386934,-6.269949896935955,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,24,14,24,0.4548319119473877,4.664682959386934,-6.269949896935955,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,10,20,0.7038568320284745,7.51117785926354,-5.548926977866897,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,10,21,0.7038568320284745,7.51117785926354,-5.548926977866897,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,10,22,0.645690095815882,6.861753573866181,-5.583070550661473,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,10,23,0.64539208416944,6.858420245665231,-5.583698958981154,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,10,24,0.64539208416944,6.858420245665231,-5.583698958981154,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,11,20,0.6251715426214174,6.635299681575102,-5.549033998216291,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,11,21,0.6251715426214174,6.635299681575102,-5.549033998216291,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,11,22,0.56694669430359,5.985875396177764,-5.583178892107665,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,11,23,0.5666482958188638,5.982542067976815,-5.583807315525258,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,11,24,0.5666482958188638,5.982542067976815,-5.583807315525258,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,12,20,0.8536317983087848,9.111550178577232,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,12,21,0.8536317983087848,9.111550178577232,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,12,22,0.7951515341386048,8.462125893179874,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,12,23,0.7948523415013339,8.458792564978923,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,12,24,0.7948523415013339,8.458792564978923,-5.067116312801723,606,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,13,20,0.6833799358545395,7.261390690196956,-5.092332167437563,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,13,21,0.6833799358545395,7.261390690196956,-5.092332167437563,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,13,22,0.7591433666563383,8.129583591243051,-5.123929877718925,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,13,23,0.7588459747181606,8.1262502630421,-5.12455116728594,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,13,24,0.7588459747181606,8.1262502630421,-5.12455116728594,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,14,20,0.4330512896501765,4.444616603311613,-6.282602259227632,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,14,21,0.4330512896501765,4.444616603311613,-6.282602259227632,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,14,22,0.37396714735635866,3.7951923179142533,-6.32158554615253,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,14,23,0.3736641053605874,3.7918589897132815,-6.322239197525603,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,25,14,24,0.3736641053605874,3.7918589897132815,-6.322239197525603,603,0.8732693099655712,0.19763362154090344,22.631463087680842
3,26,10,20,0.8362547349130025,9.036289064121528,-5.548926977866897,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,26,10,21,0.8362547349130025,9.036289064121528,-5.548926977866897,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,26,10,22,0.7784914625441871,8.38686477872419,-5.583070550661473,615,0.8732693099655712,0.19763362154090344,22.631463087680842
3,26,10,23,0.7781956809319012,8.38353145052324,-5.583698958981154,615,0.8732693099655712,0.19763362154090344,22.631463087680842
