asset,batch,status,oos_sharpe,wfe_pardo,oos_trades,pre_sharpe,pre_wfe,change_pct
SHIB,1,SUCCESS,5.05,2.38,99,5.67,2.27,-10.9
DOT,1,SUCCESS,2.67,1.09,105,4.82,1.74,-44.7
TIA,1,SUCCESS,2.86,1.05,63,5.16,1.36,-44.6
NEAR,1,SUCCESS,3.11,1.49,72,4.26,1.69,-27.0
DOGE,2,SUCCESS,3.05,1.02,75,3.88,1.55,-21.3
ANKR,2,SUCCESS,3.35,1.10,84,3.48,0.86,-3.7
ETH,2,SUCCESS,4.18,1.29,87,3.22,1.22,29.9
JOE,2,FAIL,2.12,0.56,69,3.16,0.73,-32.9
YGG,MEGA,SUCCESS,3.29,0.85,78,3.11,0.78,5.8
MINA,MEGA,SUCCESS,2.25,1.03,60,2.58,1.13,-12.8
CAKE,MEGA,SUCCESS,1.98,0.71,90,2.46,0.81,-19.5
RUNE,MEGA,FAIL,1.74,0.47,102,2.42,0.61,-28.1
EGLD,MEGA,SUCCESS,2.21,0.70,91,2.13,0.69,3.8
AVAX,MEGA,FAIL,2.16,0.42,90,2.00,0.66,8.0
HBAR,MEGA,SUCCESS,2.05,0.91,117,,,
TON,MEGA,SUCCESS,1.57,0.85,63,,,
SUSHI,MEGA,FAIL,2.03,0.52,93,,,
CRV,MEGA,SUCCESS,1.48,1.27,96,,,
ONE,MEGA,SUCCESS,2.90,0.84,111,,,
SEI,MEGA,FAIL,0.44,0.11,78,,,
AXS,MEGA,FAIL,1.21,0.33,138,,,
SOL,MEGA,SUCCESS,3.25,1.22,93,,,
ZIL,MEGA,FAIL,-2.13,-0.84,90,,,
AAVE,MEGA,FAIL,-0.71,-0.14,81,,,
GALA,MEGA,FAIL,-0.62,-0.24,66,,,
BTC,MEGA,FAIL,-0.18,-0.05,75,3.06,0.66,-105.9
