mode,status,oos_sharpe,wfe,oos_trades,sens_var,guard002_pass,all_pass,base_sharpe,scan_file,guards_file,error
baseline,SUCCESS,2.03,1.43,84,23.52,False,False,1.15,outputs\fgrid_ETH_baseline_20260122_155720_multiasset_scan_20260122_155955.csv,outputs\fgrid_ETH_baseline_20260122_155720_guards_summary_20260122_155955.csv,
light_kama,FAIL,1.56,0.53,78,11.88,False,False,1.04,outputs\fgrid_ETH_light_kama_20260122_161826_multiasset_scan_20260122_162111.csv,outputs\fgrid_ETH_light_kama_20260122_161826_guards_summary_20260122_162111.csv,
light_distance,SUCCESS,2.77,1.02,66,19.12,False,False,1.56,outputs\fgrid_ETH_light_distance_20260122_163943_multiasset_scan_20260122_164300.csv,outputs\fgrid_ETH_light_distance_20260122_163943_guards_summary_20260122_164300.csv,
light_volume,SUCCESS,3.15,1.06,78,16.04,False,False,1.16,outputs\fgrid_ETH_light_volume_20260122_170037_multiasset_scan_20260122_170257.csv,outputs\fgrid_ETH_light_volume_20260122_170037_guards_summary_20260122_170257.csv,
light_regression,FAIL,1.3,0.4,72,7.41,True,False,1.78,outputs\fgrid_ETH_light_regression_20260122_171918_multiasset_scan_20260122_172241.csv,outputs\fgrid_ETH_light_regression_20260122_171918_guards_summary_20260122_172241.csv,
medium_kama_distance,SUCCESS,3.59,1.05,69,26.01,False,False,0.53,outputs\fgrid_ETH_medium_kama_distance_20260122_173901_multiasset_scan_20260122_174149.csv,outputs\fgrid_ETH_medium_kama_distance_20260122_173901_guards_summary_20260122_174149.csv,
medium_kama_volume,SUCCESS,1.7,0.63,78,14.74,False,False,1.45,outputs\fgrid_ETH_medium_kama_volume_20260122_175749_multiasset_scan_20260122_180015.csv,outputs\fgrid_ETH_medium_kama_volume_20260122_175749_guards_summary_20260122_180015.csv,
medium_kama_regression,SUCCESS,1.9,0.69,81,12.85,False,False,0.84,outputs\fgrid_ETH_medium_kama_regression_20260122_181606_multiasset_scan_20260122_181943.csv,outputs\fgrid_ETH_medium_kama_regression_20260122_181606_guards_summary_20260122_181943.csv,
medium_distance_volume,SUCCESS,2.09,0.82,57,3.95,True,True,1.68,outputs\fgrid_ETH_medium_distance_volume_20260122_183348_multiasset_scan_20260122_183544.csv,outputs\fgrid_ETH_medium_distance_volume_20260122_183348_guards_summary_20260122_183544.csv,
moderate,FAIL,0.69,0.22,66,41.05,False,False,0.29,outputs\fgrid_ETH_moderate_20260122_184710_multiasset_scan_20260122_185014.csv,outputs\fgrid_ETH_moderate_20260122_184710_guards_summary_20260122_185014.csv,
strict_ichi,SUCCESS,2.36,0.75,81,-157.0,True,False,-0.09,outputs\fgrid_ETH_strict_ichi_20260122_190219_multiasset_scan_20260122_190420.csv,outputs\fgrid_ETH_strict_ichi_20260122_190219_guards_summary_20260122_190420.csv,
