mode,status,oos_sharpe,wfe,oos_trades,sens_var,guard002_pass,all_pass,base_sharpe
baseline,SUCCESS,2.03,1.43,84,23.52,False,False,1.15
light_kama,FAIL,1.56,0.53,78,11.88,False,False,1.04
light_distance,SUCCESS,2.77,1.02,66,19.12,False,False,1.56
light_volume,SUCCESS,3.15,1.06,78,16.04,False,False,1.16
light_regression,FAIL,1.3,0.4,72,7.41,True,False,1.78
medium_kama_distance,SUCCESS,3.59,1.05,69,26.01,False,False,0.53
medium_kama_volume,SUCCESS,1.7,0.63,78,14.74,False,False,1.45
medium_kama_regression,SUCCESS,1.9,0.69,81,12.85,False,False,0.84
medium_distance_volume,SUCCESS,2.09,0.82,57,3.95,True,True,1.68
moderate,FAIL,0.69,0.22,66,41.05,False,False,0.29
strict_ichi,SUCCESS,2.36,0.75,81,-157.0,True,False,-0.09
