asset,cluster,individual_sharpe,cluster_avg_sharpe,param_distance
ICP,cluster_0,1.453932239914598,2.3008558266394283,4.75
HBAR,cluster_0,2.510368357750194,2.3008558266394283,5.766281297335398
YGG,cluster_0,3.242191777518213,2.3008558266394283,10.407329148249325
CELO,cluster_0,2.915328065101695,2.3008558266394283,4.956056900399752
ARKM,cluster_0,2.17731727052421,2.3008558266394283,8.15858443604036
AR,cluster_0,2.79980821075675,2.3008558266394283,5.07444578254611
STRK,cluster_0,1.0422903723544352,2.3008558266394283,13.06713434537198
METIS,cluster_0,2.8469607081074817,2.3008558266394283,11.834800378544625
AEVO,cluster_0,1.719505437727277,2.3008558266394283,6.304760106459246
EGLD,cluster_1,2.2239657409860984,2.2580912054918403,7.599342076785332
IMX,cluster_1,1.2669624172328302,2.2580912054918403,5.153882032022076
ANKR,cluster_1,3.646027185922157,2.2580912054918403,6.519202405202649
W,cluster_1,1.895409477826276,2.2580912054918403,5.787918451395113
