asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error,fixed_displacement
JOE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.75,5.0,8.0,10.0,10,32,9,29,26,2.792710907280706,12.612274451211224,204,-1.6232668386638103,-2.999242060733398,105,5.1463323996848755,7.281846780739154,63,-1.490883524499298,3.325138206258219,1.8427730511841331,0.0,,26
JOE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,4.25,3.0,5.5,5,20,13,27,39,4.185014344161886,37.63036249800684,390,2.6304414535582774,7.815654220180557,147,3.9100534701869867,10.83374227435463,111,-3.0192211802209434,2.1268491061689785,0.9342987021398215,0.0,,39
JOE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.25,5.0,8.0,4.5,14,20,13,17,52,3.4212705082572006,17.742082907966417,231,2.4086117467325896,4.212092789325661,85,3.3201896487090385,5.546602979007886,75,-1.2642210019866873,2.0067424549444715,0.970455168831519,0.002,,52
JOE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.0,5.0,3.0,7.0,15,20,14,19,65,3.7353726188182654,22.103437145323724,294,2.3229267552659705,4.873678351848576,108,2.244035452059686,4.565445273804225,102,-1.8319176224414258,1.5506159166522435,0.6007527711571694,0.01,,65
JOE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.0,4.5,9.5,9.0,6,26,12,15,78,3.385014551030891,17.071001278594842,180,1.6296702621267596,2.9677881304745357,87,1.162136565287529,1.9474332617069212,72,-2.7020898363727675,1.3103473235040297,0.3433180412573428,0.042,,78
TON,FAIL,binance,1H,2024-08-08,2026-01-21,12748,42,WFE<0.6; TRADES<50; OVERFIT,5.0,1.75,11.5,8.5,20,26,10,21,26,2.693000722483929,5.638374158078729,189,-1.7385039327404745,-1.166157461583095,54,1.4754012397479328,0.9751467397958624,48,-0.9510504619177129,1.6091716221750725,0.5478651481337422,0.03,,26
TON,FAIL,binance,1H,2024-08-08,2026-01-21,12748,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.75,5.0,4.0,7.5,20,31,14,21,39,2.2151356346185085,6.760243509675079,171,0.1724724036532618,0.16529829302445176,57,-2.2379051784119577,-2.253448626508836,48,-2.253448626508836,0.5608431925972216,-1.0102790743093122,0.528,,39
TON,FAIL,binance,1H,2024-08-08,2026-01-21,12748,42,WFE<0.6; OVERFIT,2.75,3.75,11.5,8.0,20,35,11,24,52,2.136733068210369,8.056021922625245,168,-1.823624454439614,-2.301653611318566,54,1.2419374154555054,1.4387191277427602,51,-1.2514644084600346,1.3391860745845967,0.5812318973917019,0.044,,52
TON,SUCCESS,binance,1H,2024-08-08,2026-01-21,12748,42,,3.75,2.75,9.0,6.0,14,20,13,17,65,1.9120918710431418,5.265331712340249,159,-2.1313508702648103,-2.253315321476168,60,1.647602390630312,1.4648514933898404,60,-1.3924568230999967,1.4606343928767578,0.8616753282526444,0.022,,65
TON,SUCCESS,binance,1H,2024-08-08,2026-01-21,12748,42,,3.25,2.75,8.0,6.5,10,24,9,24,78,2.517128700283118,7.637848867449204,159,-3.5136754580574743,-4.101129849454777,66,1.7414357163483918,1.6340250363691577,57,-1.1708457597358612,1.509012938050586,0.6918341982881213,0.022,,78
