asset,best_displacement,best_oos_sharpe,best_wfe,best_trades,default_oos_sharpe,improvement
AXS,39,3.1782922008666983,1.1206069803900098,123,0.7847829730248349,2.3935092278418635
CAKE,26,4.446247372044025,1.085039623977548,138,1.560845040480557,2.8854023315634683
DOGS,52,5.8746699283360995,1.9460853022368039,36,5.8746699283360995,0.0
JOE,26,5.1463323996848755,1.8427730511841331,63,3.3201896487090385,1.826142750975837
KSM,26,1.950250793528085,0.693333650278208,90,1.1077923006235335,0.8424584929045515
LOOM,52,5.5439199478388215,1.1552305400538987,18,5.5439199478388215,0.0
MINA,78,2.7939541922027074,0.9965392056652054,78,1.692327313399183,1.1016268788035244
OSMO,65,3.0498141655569153,0.7519963342021422,57,2.304182404470706,0.7456317610862091
RUNE,78,2.299217632077586,0.8429826895124317,102,1.8468423306780501,0.45237530139953575
TON,78,1.7414357163483918,0.6918341982881213,57,1.2419374154555054,0.4994983008928864
