asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
SOL,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,4.5,1.5,3.0,8.5,7,27,8,26,2.315240417636257,6.00190341406559,312,0.7990037274656044,0.8382162746080057,126,1.287986920784217,1.131098425417254,96,-0.8743836900105384,1.3590036047775185,0.5563080667446132,0.072,
XRP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,4.0,5.5,9.5,9,24,9,30,3.063324260220407,13.252529304313532,252,1.0739776990798797,1.6860342146876262,96,-0.931964503010704,-1.4788744257810293,90,-2.800822302611594,0.8238430728725712,-0.30423305658919986,0.482,
BNB,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,3.75,5.5,8.0,20,31,10,26,2.018900802870328,6.803154813814882,225,-2.4373743617590766,-3.1217162738108706,69,-1.7003828728853791,-2.505974445326231,90,-3.3872957971197937,0.6801278244345668,-0.8422320058855279,0.928,
ADA,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,2.75,7.0,10.0,8,30,9,29,2.905109459597516,15.919819613258191,324,-1.760486175888392,-3.5593799296172457,118,-0.0130666485328014,-0.0565887370377105,90,-4.000924292423258,0.9929059916696675,-0.004497816249103295,0.08,
DOGE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.0,3.5,7.5,9.5,18,25,9,25,2.319240876184654,12.073758883097717,276,0.5916623038987959,0.9319142497077104,93,1.0050126608196153,1.6342890694329704,90,-2.569215316465534,1.2203944519709446,0.43333690395839586,0.076,
DOT,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.25,3.75,8.5,9.0,11,40,16,28,2.862090879551203,14.41814493592377,261,2.874428504551078,4.6027112676461535,90,3.540083245334296,6.5149891913300895,93,-1.5104892844213125,2.2273708590821655,1.2368870851121987,0.006,
LINK,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,4.75,1.75,4.5,7.5,6,35,8,29,4.635711536082869,11.638544979823173,291,-2.063665076177461,-2.554056670234295,120,1.3704461586559502,1.263474861327385,105,-0.9595782189455337,1.3928920394071,0.2956280061839145,0.046,
MATIC,FAIL,binance,1H,2024-01-22,2024-09-10,5558,42,TRADES<50,4.75,1.5,3.0,9.0,14,34,8,30,6.757622656492118,3.129367160639318,87,-1.1094955202462942,-0.3715664403696417,39,6.955773010431755,0.7284324397772268,15,-0.01107925384021824,31.255353381309746,1.0293224946126982,0.0,
SHIB,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,4.75,6.5,9.0,16,25,14,18,2.5502120734796287,19.669846135378897,303,-0.9257696071252023,-2.67377627391725,132,4.710563001546132,12.867554979311603,93,-1.5898112992045577,2.5602366980218707,1.8471259902392427,0.0,
LTC,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.5,5.0,8.0,9.5,7,23,8,28,3.112873112383227,12.452465706193028,189,-0.052324895043968,-0.0929869649545112,66,-0.8210730482749679,-0.9956180178043672,48,-3.3984191119728613,0.7860268543361808,-0.2637669505411839,0.4,
ATOM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,3.25,6.5,8.5,9,27,12,19,2.382056220304612,8.8123941152616,255,0.1651916018107168,0.18603172791109568,72,-1.2690976252792578,-1.8462761059492738,96,-3.4609510991630343,0.7643020628716186,-0.5327740019154412,0.406,
XLM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,1.75,6.0,8.5,7,31,16,24,2.008935914468922,7.207282574139162,315,-0.31831920849906603,-0.44154804474110243,105,-0.7653205852404823,-0.9143359088460978,93,-2.7882506683526986,0.8285249743602424,-0.38095818772934864,0.314,
NEAR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,2.75,5.5,6.5,8,38,8,27,1.6119006760718182,5.582133917770493,267,1.8238830591652553,2.259101587241674,108,3.250942006469778,3.6121360697459526,99,-1.0001007038929366,1.9842365948605818,2.0168376716562233,0.01,
FIL,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,2.0,5.0,8.5,8,34,9,26,3.2149466118160523,9.430712942659447,288,1.9102627264162675,2.137243334327388,126,0.45638120337146537,0.41128392657558965,59,-2.4267926387168792,1.1307692846111057,0.14195607531835985,0.296,
ARB,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,4.75,5.5,9.5,5,38,10,15,2.621453177279749,17.58472305467422,318,3.8969986107386396,9.0481703735642,117,-0.6427476678980147,-1.607685753625887,117,-3.950354520554822,0.8821622692932131,-0.24518754462934425,0.172,
