asset,status,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
HYPE,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
AVAX,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
ATOM,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
ARB,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
LINK,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
UNI,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
SUI,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
INJ,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
TIA,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
SEI,FAILED,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,FinalTriggerStrategy.__init__() got an unexpected keyword argument 'grace_bars'
