asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
ALGO,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,5.0,6.0,6.5,6,29,9,21,3.677842913513768,14.926025943450071,213,-0.9009025765326939,-1.3904689183645846,78,-0.9485849393904019,-1.3971440913285171,69,-3.876663375484546,0.7911560659410221,-0.25791882951415535,0.27,
VET,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,5.0,6.0,7.0,10,39,14,24,1.9597452998350995,7.631623417752098,174,1.1482267726910287,1.7594903169823706,78,-1.0010759627168775,-1.4789044138848628,66,-4.344570411471016,0.7799066719341975,-0.5108194227082019,0.248,
ICP,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.75,3.0,9.5,10.0,10,30,11,26,1.1858149095097352,9.790567182575604,321,-0.22744778540973784,-0.57334192191969,123,1.453932239914598,4.260236103052306,111,-2.59700399412941,1.3416547292895795,1.2261038617870925,0.174,
HBAR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,2.5,6.0,8.0,9,31,11,19,2.2123286939742797,16.684238628555526,354,-1.8606083285628143,-4.636596377776536,126,2.510368357750194,6.292668111377675,123,-2.369865365764623,1.5388305176312032,1.1347176233747205,0.0,
EOS,FAIL,binance,1H,2024-01-22,2025-05-26,11750,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,1.5,3.0,5.0,10,26,13,15,2.534939128578311,4.225505732135382,207,0.6157228787694091,0.3880594554580563,60,-2.189048652469184,-1.8328663458922478,78,-2.915783292216434,0.6057792357601609,-0.8635507763442369,0.954,
XTZ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,2.0,3.5,4.0,11,37,11,15,1.3987659740011023,4.108544243591905,276,0.5337452738142004,0.5109767138658405,78,-1.575656852879557,-1.9360533324172091,96,-2.5755040358166226,0.6892746915141688,-1.12646209742468,0.776,
FLOW,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.0,3.5,6.5,16,40,16,30,2.6320744431045973,12.389131326399028,354,1.191873375696997,2.154933811631765,141,-0.6721581871447276,-1.1692305194976882,108,-3.099919083173086,0.8709070450202573,-0.25537202752970023,0.074,
MINA,FAIL,binance,1H,2024-01-22,2026-01-21,17521,42,WFE<0.6; OVERFIT,4.0,3.0,6.5,7.5,9,31,11,19,1.7961095801802778,6.93755739099855,240,2.5485808050635317,3.2381834491334027,96,1.0228019742639902,1.2976212452831204,75,-2.538330569761049,1.2516568936931194,0.569454105445688,0.118,
EGLD,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,2.25,5.0,8.5,5,32,8,22,2.7039583999896357,8.203174794312606,291,-0.16976319500321638,-0.2183521667572519,123,2.2239657409860984,2.467016380995357,93,-1.5339392815426955,1.5906735330707271,0.822485190968405,0.006,
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,5.0,2.0,3.5,5.0,7,24,14,23,3.1963800092885335,7.839606624639761,258,-0.6879425156199901,-0.8067745150921124,108,1.1707145802548682,1.2268255669867667,99,-2.3416082120709114,1.2952230690124888,0.3662626398778698,0.048,
GALA,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.5,5.0,7.0,15,27,11,17,1.6481043801743507,13.604607614623742,336,1.0236330759491774,2.910990476691211,129,0.16601593942870485,0.37712576256907493,120,-5.142674186498441,1.0252400437831677,0.10073144724677102,0.13,
ENJ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.25,7.5,9.0,17,39,8,30,3.485886696278359,18.80271478628397,324,-2.5504098108236577,-4.9319385302099565,129,-2.189864213550529,-4.4012684432969245,135,-5.764843718038826,0.6602586381490455,-0.6282086609092877,0.672,
AXS,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.5,2.0,4.5,6.0,18,21,9,16,4.047645263808034,13.834683023606843,312,1.5092353162409304,2.1045428983382353,138,1.2472113319159228,1.4790301580396292,111,-1.4206814740280738,1.2808041269505828,0.3081325685992906,0.384,
IMX,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,5.0,2.0,3.0,6.5,5,23,8,28,2.059033372576555,5.597374362588492,312,-2.9202648196980854,-3.9476033257969223,117,1.2669624172328302,1.2108933419594514,96,-1.2841531211342572,1.337196783489803,0.6153190298452652,0.07,
BLUR,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,3.0,6.5,9.0,6,40,8,15,3.348416158749715,18.61995578105504,300,0.19697249818995322,0.33627819221848654,120,-2.323465943111743,-4.455600819049998,121,-5.843621762774676,0.6188268321017784,-0.6938999912063845,0.69,
