asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
GALA,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.5,6.5,8.0,7,28,16,18,52,3.0366421108014583,12.968676126420341,234,-0.10868213691179099,-0.1751336680659521,70,-2.6033433451955292,-3.6732506539755794,66,-5.540772331240418,0.4908945766790315,-0.8573099002794343,0.75,
SAND,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,1.75,5.0,6.5,8.0,11,21,12,23,52,2.7308190618550117,22.116912518378662,303,-1.331231061677871,-3.89105403343859,132,1.6598946175097813,4.525289424924384,99,-3.16510428447504,1.4000366094553478,0.6078376413493449,0.048,
MANA,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.5,3.25,8.5,9.5,8,25,8,25,52,2.2734343925721774,19.663638333224732,345,-0.6821101145432894,-2.0960452404648278,138,0.173733903675055,0.39747670936973734,129,-4.276923552216372,1.0236938281418215,0.07641914112088866,0.25,
ENJ,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,4.25,7.5,10.0,18,36,10,26,52,3.2761325417544125,21.321117076486253,312,-2.2257503683325495,-5.209231319619445,129,0.8405043057925013,1.9419697260529611,120,-4.211521023717557,1.146303812578026,0.25655381614762146,0.074,
FLOKI,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.75,7.5,10.0,18,20,13,16,52,3.570500558292261,17.905030450087533,228,-0.9588447865004812,-1.8883065692739898,114,0.15961904963515244,0.26577067624595774,96,-3.53276571034572,1.026798064080419,0.044704950196534025,0.178,
PEPE,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,2.25,4.5,8.5,10.0,10,21,13,18,52,1.8740025377091605,11.871136311261843,273,-1.0383013141542983,-2.248945187618334,93,2.339138006818774,5.417956360821785,93,-3.0634697466160876,1.606244307263247,1.2482042898822379,0.01,
WIF,FAIL,binance,1H,2024-03-05,2026-01-23,16542,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,3.25,5.0,10.0,8,23,16,30,52,5.517743140521314,18.29562924475221,228,-0.14347409095842117,-0.23334526176044257,104,0.7594435531850188,0.9977687882722908,89,-2.0483835131566708,1.161865972386195,0.13763662675919106,0.102,
RONIN,FAIL,binance,1H,2024-02-05,2026-01-23,17239,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,4.75,9.0,10.0,6,22,9,22,52,3.3029083762414952,25.035293634889122,249,1.3191814165747215,3.5625150256786586,110,-1.140207051122309,-2.5289389587838884,78,-4.8354401844100225,0.7623835991776161,-0.34521304294241245,0.128,
PIXEL,FAIL,binance,1H,2024-02-19,2026-01-23,16906,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,2.25,4.0,9.0,13,37,13,24,52,3.2486764759531566,14.399255094338814,294,-0.7011796301337825,-1.128986962557299,111,0.6374968744744538,0.9862691368252019,84,-3.823573203316255,1.1443848492830055,0.19623279793886317,0.028,
ILV,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,2.0,2.25,8.5,10.0,7,37,9,18,52,3.66612905981533,23.521259102431458,330,2.8322809484133464,5.994658388292318,112,2.282120626277854,4.4684950541743484,94,-2.097335466113892,1.6843438553367542,0.6224878036325346,0.008,
FIL,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,2.0,6.0,8.5,10,39,10,21,52,3.7265388510169006,9.896555435950404,276,-0.2954185658159903,-0.34628312587882126,114,-0.03439763154227562,-0.04141867436739943,56,-2.7610673643832184,0.986738279842692,-0.0092304502696622,0.364,
THETA,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,WFE<0.6; OVERFIT,2.0,2.5,8.5,9.5,13,33,12,29,52,2.6687263900388505,17.270628327882175,339,-2.1511699225901486,-5.269370736203671,150,1.2935259518085016,2.4967075580077935,99,-3.930514805401264,1.3297119584374664,0.484697853116996,0.018,
CHZ,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.5,7.5,10.0,6,21,11,27,52,2.565039539128363,10.018131561697018,204,0.43408345147879646,0.6218838566916851,87,0.5420164630249471,0.8456658234564651,87,-2.753003298793111,1.1090565410446291,0.2113092039154812,0.65,
CRV,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,4.0,5.5,9.5,14,22,14,27,52,1.1731365503715463,8.740878736664914,355,-3.8607156731821637,-8.221023406667394,108,0.46514033864952903,1.0917476692648975,120,-3.059022870924999,1.0788057500480288,0.39649292190428603,0.144,
SUSHI,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,WFE<0.6; OVERFIT,4.75,3.25,7.0,9.5,7,35,10,20,52,3.8198741965085476,12.820553220208497,234,2.7354489377139277,2.60045635362256,63,1.4406831451671764,1.8098562881480484,94,-2.169554373265614,1.3488267400338745,0.3771546053752225,0.018,
ONE,SUCCESS,binance,1H,2024-01-24,2026-01-23,17520,42,,2.0,4.75,6.0,7.0,5,33,15,19,52,3.8468961630945246,28.863222651239283,306,-0.08023098802193526,-0.285951234890891,120,3.2282355628343233,8.077345610570475,105,-1.490734524595172,1.8084512951582963,0.8391792827174889,0.0,
KAVA,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,WFE<0.6; OVERFIT,3.0,2.75,5.5,7.0,9,20,11,20,52,3.571150120223488,16.425917209587016,303,2.5602051570766675,4.259224590791755,111,1.0009223580325475,1.596591088054855,87,-2.4268186219816523,1.233409289943196,0.2802801126629502,0.02,
ZIL,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,5.0,6.0,10.0,6,35,9,29,52,2.8066602291967504,17.66709959886419,291,-0.6370046277812171,-1.271787282902026,93,-1.4887867154254566,-3.0100959565678154,93,-4.167736485487739,0.738649725792099,-0.5304477898457765,0.396,
CFX,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,3.25,4.5,6.5,14,32,11,15,52,2.9534344426246815,13.212165072429638,285,-0.5027374367212029,-0.8583117313021082,105,-0.10834466277095188,-0.2040418650283704,93,-3.5017080320524308,0.9737045548904388,-0.03668429581753888,0.132,
ROSE,FAIL,binance,1H,2024-01-24,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,3.5,5.5,8.5,9,31,8,16,52,1.6170025499249534,6.234508095416325,243,1.242954003153025,1.6831626209929063,96,0.2679074362977746,0.3761620171827351,105,-1.9853127204849108,1.0488210058415839,0.165681517515361,0.426,
