trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
0,2.4685312030942628,657,35.30331884785027,2.4685312030942628,-3.084246715358141,1.5375669626364885,True,10,39,14,24
1,2.2711841185821884,672,32.706120473292465,2.2711841185821884,-3.876912912689068,1.4789767218604888,True,8,23,8,28
2,2.720758442477556,654,39.111404517275304,2.720758442477556,-3.0546062519165917,1.610039438637251,True,12,34,8,30
3,2.5870957512880937,648,36.88507866780333,2.5870957512880937,-3.084626303224025,1.5753730885727266,True,14,24,9,17
4,2.5407254093239704,660,36.425165432247184,2.5407254093239704,-3.7779680209422906,1.554695808497515,True,9,31,11,19
5,2.47188111766742,657,35.345678672726535,2.47188111766742,-3.3788654172204113,1.5382374798470395,True,12,22,10,20
6,2.7276370713261984,654,39.08572949824891,2.7276370713261984,-3.0550974524061747,1.6095930166467385,True,11,36,9,23
7,2.474599688475134,657,35.320780610897316,2.474599688475134,-3.3784156435443857,1.5378519098600851,True,12,20,13,17
8,1.9958202917292704,651,28.350316909767436,1.9958202917292704,-4.598416399188309,1.4215043980814583,True,7,39,16,27
9,2.471329288072863,657,35.32888551284326,2.471329288072863,-3.413724959892306,1.538078622032125,True,9,22,14,22
10,2.704341754496762,639,38.450044800260684,2.704341754496762,-4.425278945536027,1.6145567222850816,True,15,35,11,24
11,2.720758442477556,654,39.111404517275304,2.720758442477556,-3.0546062519165917,1.610039438637251,True,12,33,8,30
12,2.6195801386082405,654,37.466503550048415,2.6195801386082405,-3.084404500224014,1.5796959893042497,True,11,28,9,26
13,2.658878763732558,651,38.013523138614836,2.658878763732558,-3.3059299144588383,1.5930063244390575,True,13,36,10,30
14,2.6197432532186684,654,37.46902185828746,2.6197432532186684,-3.08474270227983,1.5797425222568042,True,11,28,8,15
15,2.6632899230598506,651,37.99501285067974,2.6632899230598506,-3.306345921315268,1.592724311254639,True,13,36,10,22
16,2.5631996108034403,666,36.98041887827574,2.5631996108034403,-3.3491717565257817,1.5587232211347872,True,10,32,12,25
17,2.6843368830811394,648,38.51051803599279,2.6843368830811394,-4.424626779733154,1.6054514765722194,True,15,40,9,29
18,2.6632899230598506,651,37.99501285067974,2.6632899230598506,-3.306345921315268,1.592724311254639,True,13,34,11,20
19,2.4717016712458864,666,35.37432991605727,2.4717016712458864,-3.239425273526686,1.5302203585292793,True,10,28,8,27
20,2.7276954373694235,654,39.086580622142385,2.7276954373694235,-3.0550974524061747,1.6096143832943692,True,11,38,9,23
21,2.7276370713261984,654,39.08572949824891,2.7276370713261984,-3.0550974524061747,1.6095930166467385,True,11,37,9,23
22,2.7276370713261984,654,39.08572949824891,2.7276370713261984,-3.0550974524061747,1.6095930166467385,True,11,37,9,23
23,2.383987178261079,657,33.71249043445248,2.383987178261079,-3.811477110888428,1.5092380515662427,True,9,38,10,21
24,2.6518599008100976,660,38.04881651913199,2.6518599008100976,-3.2919490982622257,1.583969816757371,True,11,37,12,24
25,2.475787091676674,666,35.35788189066502,2.475787091676674,-3.2398591356271322,1.5299863777258627,True,10,40,9,23
26,2.614048320789019,663,37.53064026249498,2.614048320789019,-3.291654159837676,1.5714476874984298,True,11,30,11,25
27,2.135862808663829,648,30.474292467044073,2.135862808663829,-4.598416399188309,1.4602527326010608,True,8,37,16,21
28,2.8379456054608574,645,40.62761188374839,2.8379456054608574,-3.054940365695813,1.6497922389212212,True,14,35,10,19
29,2.657663596743485,651,37.97568352141128,2.657663596743485,-3.0553605603080514,1.5922542920021583,True,14,39,10,18
30,2.8380030359371666,645,40.62873614302283,2.8380030359371666,-3.0553605603080514,1.64981091056395,True,14,35,14,15
31,2.7662842577021984,642,39.53945456011327,2.7662842577021984,-4.425699140148276,1.6323106374874892,True,14,35,15,15
32,2.6654469279877535,642,37.942773228848715,2.6654469279877535,-4.425699140148276,1.6015659953403267,True,14,34,15,15
33,2.830852945927294,645,40.61892004984733,2.830852945927294,-4.425652641659084,1.6495130352275005,True,15,32,14,16
34,2.6642324405733198,642,37.942552913557506,2.6642324405733198,-4.425652641659084,1.60151446520455,True,15,30,14,16
35,2.7920776120904276,648,40.11181046581023,2.7920776120904276,-4.425652641659084,1.6362449080539672,True,14,32,15,16
36,2.8634185231512674,651,41.19986460888847,2.8634185231512674,-3.0553605603080514,1.6535837982247574,True,14,32,13,17
37,2.8308310030336767,645,40.618368472262475,2.8308310030336767,-4.425699140148276,1.6495112347483245,True,15,32,13,18
38,2.5434785864158327,660,36.431422118354796,2.5434785864158327,-3.347921973120682,1.5547643519302805,True,13,26,13,17
39,2.6641614219479828,642,37.941325473726174,2.6641614219479828,-4.425699140148276,1.60149500623943,True,15,30,13,18
40,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,16
41,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,16
42,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,17
43,2.8010977675312474,648,40.11167561816029,2.8010977675312474,-3.0553605603080514,1.636275972947494,True,13,33,14,17
44,2.69196513719921,648,38.515071453082264,2.69196513719921,-4.425652641659084,1.6057132961078648,True,14,31,15,16
45,2.684411171797719,657,38.53621239175094,2.684411171797719,-3.054861228165917,1.596390969985277,True,12,33,13,19
46,2.7004933070207287,648,38.51467387973653,2.7004933070207287,-3.0553605603080514,1.6057389340591266,True,13,34,14,15
47,2.6173393694360225,654,37.46782855700452,2.6173393694360225,-3.0553605603080514,1.5796976823983777,True,14,29,13,18
48,2.5752718064193907,657,36.94009179088222,2.5752718064193907,-4.425699140148276,1.5669251029953144,True,12,31,15,16
49,2.7004933070207287,648,38.51467387973653,2.7004933070207287,-3.0553605603080514,1.6057389340591266,True,13,34,14,17
50,2.4572113361333687,648,35.32280910892829,2.4572113361333687,-4.553806627816637,1.5464296453936066,True,14,31,16,17
51,2.8379456054608574,645,40.62761188374839,2.8379456054608574,-3.054940365695813,1.6497922389212212,True,14,35,12,19
52,2.8052323302585864,639,40.047240006396834,2.8052323302585864,-4.425699140148276,1.6456742519454752,True,15,35,14,15
53,2.837946013440153,645,40.6276783131827,2.837946013440153,-3.0553605603080514,1.649793991766151,True,14,33,12,17
54,2.7641290569482626,651,39.59265011153228,2.7641290569482626,-3.0552814112924653,1.6229115650058425,True,13,33,13,17
55,2.837946013440153,645,40.6276783131827,2.837946013440153,-3.0553605603080514,1.649793991766151,True,14,33,12,16
56,2.8051887322456652,639,40.04668268132352,2.8051887322456652,-4.425699140148276,1.6456594646268368,True,15,36,14,18
57,2.5434458372700615,660,36.430786595926,2.5434458372700615,-3.348377031236993,1.554754113258727,True,13,29,12,20
58,2.8634185231512674,651,41.19986460888847,2.8634185231512674,-3.0553605603080514,1.6535837982247574,True,14,32,13,15
