trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
0,1.4058015564806778,288,5.264766536100751,1.4058015564806778,-2.244296329638551,1.6100823476379087,True,10,39,14,24
1,1.835922019987046,297,6.633372298018703,1.835922019987046,-1.4462576758074608,1.8681480353705624,True,8,23,8,28
2,1.629526745425103,294,5.975896257705315,1.629526745425103,-1.447136435626084,1.7338256007109851,True,12,34,8,30
3,1.736912136624384,282,6.273456532278576,1.736912136624384,-1.8884954656500863,1.8241680497835282,True,14,24,9,17
4,2.0074117405663188,285,7.107776955344991,2.0074117405663188,-1.447136435626084,2.000771142768927,True,9,31,11,19
5,1.8113304027798138,285,6.517489022075296,1.8113304027798138,-1.447136435626084,1.8560221570260553,True,12,22,10,20
6,1.8307164709337636,288,6.591895810232162,1.8307164709337636,-1.447136435626084,1.865284721618551,True,11,36,9,23
7,2.0503907539509454,285,7.273486364371284,2.0503907539509454,-1.4482445057072968,2.024626438130841,True,12,20,13,17
8,0.7129084538261079,291,2.829918557217148,0.7129084538261079,-2.244296329638551,1.2653976022200832,True,7,39,16,27
9,1.4057061530469257,288,5.264391759261788,1.4057061530469257,-2.244296329638551,1.6100256719410104,True,9,22,14,22
10,1.7437588827900319,282,6.268970916603345,1.7437588827900319,-1.4501014120353317,1.823627950523072,True,15,27,13,15
11,2.1299206692968595,291,7.639825379471943,2.1299206692968595,-1.4469218561156016,2.0738547091692308,True,13,30,11,18
12,2.3641355142972906,294,8.289134956030498,2.3641355142972906,-1.009147030940316,2.252843772182683,True,13,27,12,15
13,1.8781717402763076,291,6.875089259746181,1.8781717402763076,-1.8884954656500863,1.900942126140204,True,14,28,11,15
14,1.9891667962113537,282,7.03819265200436,1.9891667962113537,-1.4469218561156016,1.991957013204863,True,13,31,12,18
15,1.6900994462113739,291,6.2881993079415555,1.6900994462113739,-1.8898199861173914,1.7727372823821241,True,15,27,11,21
