trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
0,3.1130287515566346,480,25.26201350100994,3.1130287515566346,-1.6952118033253472,1.8705777758557327,True,10,39,14,24
1,3.2508447514395233,480,26.311947285583813,3.2508447514395233,-1.742089069287489,1.9246808847752626,True,8,23,8,28
2,3.2074503405781454,477,25.795546073308383,3.2074503405781454,-1.6878890919633904,1.9060770560501907,True,12,34,8,30
3,3.0772020446696424,477,24.67367218169805,3.0772020446696424,-1.750324487424182,1.8511492588178424,True,14,24,9,17
4,3.255939318536767,480,26.28193434443915,3.255939318536767,-1.681228222041442,1.9229306350890272,True,9,31,11,19
5,3.0799749071956626,477,24.700096827059493,3.0799749071956626,-1.7502875460802536,1.8520549531828467,True,12,22,10,20
6,3.198964820280386,477,25.785615881429358,3.198964820280386,-1.688025625749623,1.9057214510356186,True,11,36,9,23
7,3.079951610666576,477,24.69994718256734,3.079951610666576,-1.7502875460802536,1.8520453926672746,True,12,20,13,17
8,2.6101880763855596,483,21.631389895152118,2.6101880763855596,-2.0269216704128845,1.6954766682943465,True,7,39,16,27
9,3.072076141274452,477,24.692060748702517,3.072076141274452,-1.7500513087798542,1.8518886925710982,True,9,22,14,22
10,2.92910703899384,477,23.6547686511563,2.92910703899384,-1.7656476912983332,1.8014166055650505,True,15,29,11,15
11,3.114005445966701,480,25.260209888474662,3.114005445966701,-1.6877857089505732,1.8711832209006711,True,7,28,11,30
12,3.3158403194596495,477,26.834356648388578,3.3158403194596495,-1.681110967459165,1.960294777152928,True,9,33,8,26
13,3.1989840388145394,477,25.785644581866364,3.1989840388145394,-1.688024327902582,1.9057292629005216,True,9,32,12,26
14,3.2531129808243655,480,26.301865468550933,3.2531129808243655,-1.7421106622569682,1.92392578978903,True,9,27,10,21
15,2.9485882229495197,486,24.201085239006126,2.9485882229495197,-1.7172920059373653,1.8057346993629544,True,10,32,16,19
16,3.198963870429145,477,25.78542789312561,3.198963870429145,-1.6880272877096814,1.905721651637099,True,8,36,12,25
17,3.316216742852983,483,26.81000222435468,3.316216742852983,-1.6741035049101072,1.9414745526482649,True,11,31,9,18
18,2.960770374440992,471,23.674573514766315,2.960770374440992,-1.7656558924311616,1.8167750319777825,True,13,26,8,15
19,3.193251772189246,477,25.752049825375845,3.193251772189246,-1.6880298605142285,1.9045424411126395,True,11,34,9,28
