asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
XRP,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,5.0,6.5,8.5,9,39,9,20,52,3.2886879242153726,14.979756550233848,216,0.25295870879592064,0.3700092310059411,78,0.6509840215953719,0.9750207889358764,75,-1.9663704693104744,1.1443793058050356,0.19794642623340009,0.102,
BNB,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,2.0,7.5,10.0,20,20,9,29,52,2.1509132704828526,7.223172592411631,280,0.1461363116858628,0.16255736646841878,111,-2.1275169200064092,-3.0884245462980964,108,-5.789118313780817,0.6111320281460785,-0.9891225969928619,0.948,
ADA,SUCCESS,binance,1H,2024-01-26,2026-01-25,17520,42,,2.5,2.5,4.5,10.0,9,33,8,22,52,3.151430550210488,15.949919487917086,351,-1.9777290207132399,-3.8452997607042017,129,1.9249000110925278,2.8022484640406686,90,-2.208532816428066,1.4866876039730574,0.6108019772049115,0.0,
AVAX,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,WFE<0.6; OVERFIT,3.0,3.25,8.5,10.0,20,20,10,15,52,4.277042812915856,23.05627908904919,276,-0.5624423887028742,-0.9463355191662637,93,2.221067566852996,4.025042032103565,108,-4.294268233552145,1.5162614160491257,0.5192998209290293,0.006,
TRX,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.75,4.5,9.5,5,29,13,30,52,2.4330704517579758,14.29335520916155,351,-2.224189151547907,-4.767092498287218,132,-0.911236925862501,-1.837496712844422,123,-3.663870826560456,0.844995702674009,-0.37452138930218876,0.486,
MATIC,FAIL,binance,1H,2024-01-26,2024-09-10,5459,42,TRADES<50,5.0,1.5,5.5,6.5,12,40,9,30,52,9.23338338874277,3.871979547879101,87,-1.9770225375658776,-0.6429882654129471,39,6.8388430635175705,0.6058508121863593,13,-0.010526340586591854,0.0,0.7406649085811173,0.0,
UNI,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,4.5,7.0,9.5,18,36,10,15,52,2.3832686917083867,8.63002503048811,213,-0.5456208237348409,-0.690450491016037,72,-0.4045790512081593,-0.4850977808958268,54,-3.344386107142616,0.8949500986483665,-0.1697580522983948,0.308,
ICP,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0,2.25,3.25,9.5,10.0,11,20,8,22,52,1.3901181710430983,9.745043626322158,309,0.7543955149368289,1.4412288893453695,114,0.8714482028543782,1.5915914426535727,67,-2.1690148927378416,1.2486558368027927,0.6268878581742965,0.292,
FIL,SUCCESS,binance,1H,2024-01-26,2026-01-25,17520,42,,2.0,1.75,6.0,7.0,18,24,13,19,52,2.1980068236949095,11.602027330000464,327,1.3121371083461402,2.170726575170767,132,1.978072279097558,3.03679932693921,71,-3.211575570760472,1.6323100917219655,0.8999390983565576,0.046,
OP,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,2.25,3.0,8.0,9,35,9,15,52,4.402553950879468,10.64972393028798,261,2.645076746107027,2.2439353209293023,81,0.12474437719903486,0.11968345126387447,90,-2.5169561140707564,1.0260460481856093,0.028334548216976545,0.13,
XLM,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,1.75,8.0,9.5,7,29,16,16,52,1.8891105599880016,5.90177574470836,282,-0.5236969426877537,-0.6067103572355181,87,-1.170320601116966,-1.0145314395100469,78,-2.3118462169657072,0.6718361763651366,-0.6195087920764146,0.47,
LTC,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,5.0,8.0,9.5,6,20,8,19,52,3.3470470950021762,14.431262330695404,204,-1.4440887741371522,-2.20381614941767,75,-1.736004708469749,-2.3704717897596317,57,-3.3857183620492504,0.6190951977728739,-0.5186675476009758,0.638,
GRT,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.75,8.5,9.0,8,20,11,21,52,3.1850367826856125,14.096981369869098,210,0.10080516164299066,0.12154726953212958,75,-0.6492922022876446,-0.9613816034517386,75,-3.0297449863988857,0.8564265180678531,-0.20385704988316133,0.146,
IMX,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,WFE<0.6; OVERFIT,5.0,2.0,8.5,10.0,5,32,8,27,52,2.2168098057369816,6.403162449507183,288,-0.9647446915112153,-1.2269361222518094,102,1.262743557359052,1.1764483204683707,85,-1.0743603492415321,1.3858494927859717,0.5696219649025105,0.074,
STX,FAIL,binance,1H,2024-01-26,2026-01-25,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.75,5.5,9.5,16,28,9,22,52,4.344943460370992,22.61971696811791,300,2.96674355836705,5.325487067252732,114,0.7963817216419989,1.5689471411145295,120,-2.4894981930493887,1.1348871306485873,0.1832893175493704,0.1,
