asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
BTC,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.5,7.5,9.0,10,29,12,28,52,3.2831778693446187,14.13159921007663,234,-0.5004738452513724,-0.8195716376626305,85,0.8453071825528303,1.2346025987343134,78,-1.8360694923320264,1.1920389637344162,0.257466155107085,0.13,
ETH,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,3.0,5.0,6.0,10.0,13,32,8,18,52,2.8961591295369247,16.846409267104345,270,-0.5525440534091901,-1.2426016503744863,111,3.2273175012309183,5.404968765222384,72,-1.6808264641235748,2.005365537305129,1.1143439834906252,0.004,
JOE,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,3.25,5.0,7.0,9.5,13,23,14,24,52,3.638830234094589,20.039764715854513,270,2.6250694748388166,4.474454400192918,90,2.6541652994952485,4.655877380927476,78,-1.4952041226681145,1.7440236470614647,0.7294006943843193,0.0,
OSMO,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,2.75,4.5,8.0,6,23,15,24,52,4.017654337219829,12.909569229751106,249,-1.6071215292577559,-2.0500252947593833,81,-0.15811258671396225,-0.17510288849783562,57,-1.8879214588312987,0.9573686475868812,-0.039354452484674014,0.042,
MINA,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,3.0,6.5,8.5,9,30,10,29,52,2.423688373170918,8.781590810063866,237,1.919776997897626,2.2830120133492837,90,0.7905764731467952,0.9230854729590288,69,-2.5902905379866614,1.1993329197655336,0.32618734400762994,0.19,
AVAX,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; OVERFIT,2.75,1.5,7.5,9.5,20,34,11,23,52,4.199108244255927,17.832165801860643,312,-0.677510889641445,-1.1013093843515898,126,1.9320290593207254,2.932048709014934,111,-4.565121919756299,1.4935413924475553,0.4601046095831418,0.008,
AR,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; TRADES<50; OVERFIT,4.5,2.25,8.5,9.5,5,21,10,18,52,3.857057533876782,13.35215130758276,249,1.4780341080420194,1.6555789376842878,85,1.4562391001495187,1.0727051307728441,40,-1.4082089593059566,1.6870375558868222,0.3775518221751369,0.128,
ANKR,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,2.75,3.25,6.5,10.0,8,39,8,16,52,4.053588098152327,19.517197471622794,255,1.6893608125078015,2.944016626340318,111,3.475274042385878,5.776701309048504,87,-1.213755987269327,2.0705567144838333,0.8573328020106308,0.0,
DOGE,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,2.5,3.5,5.5,10.0,14,24,15,21,52,2.5787460148206605,14.859185063636948,300,-0.8192203757562938,-1.59495725268185,114,3.880022398012378,7.392082095225194,99,-1.5237349424964797,1.9975939908679818,1.5046159550855245,0.0,
OP,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,2.25,3.0,9.0,9,35,9,15,52,3.9684526628944883,9.878342144690766,267,2.7012163216722858,2.303935342007235,81,0.09420737323077906,0.08715121853974939,90,-2.4999867964793587,1.0187956578472581,0.02373906941403872,0.174,
DOT,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,2.5,5.0,8.5,10.0,7,40,8,17,52,2.341461374313835,15.36492476971656,273,-0.2500991653093022,-0.528808385296542,84,3.924052838579544,9.148143841663403,78,-2.186831815263779,2.5611009672377083,1.6758990268329699,0.0,
NEAR,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,4.75,1.5,9.5,10.0,5,39,8,25,52,2.583682899354167,7.788194031113638,300,-1.7860051076095047,-2.0649948853622813,96,2.3328019215461553,2.60412143395925,96,-1.4510955296499595,1.820948399592764,0.9028979222370038,0.03,
SHIB,SUCCESS,binance,1H,2024-01-25,2026-01-23,17520,42,,1.5,4.75,6.0,8.0,16,26,14,18,52,2.423295743755247,21.607606548020208,312,-0.1275782427428291,-0.5359325164695505,132,5.438546621805829,17.14519711007856,93,-1.588115836698012,3.0788628767278534,2.2442768844128014,0.0,
METIS,FAIL,binance,1H,2024-03-11,2026-01-23,16404,42,WFE<0.6; OVERFIT,1.5,4.75,9.0,10.0,15,20,11,22,52,3.3991862976073524,34.54636025298539,330,1.0040562596380211,2.5917173559782736,93,2.0386696769914594,5.0435079797084725,78,-2.631237564490785,1.559581159053651,0.5997522637774974,0.002,
YGG,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; OVERFIT,4.75,2.75,8.5,10.0,7,20,8,18,52,3.4033408911596754,10.312375882873592,221,-0.7577111540101295,-1.0337138714773597,96,1.1755859141539502,1.2415784107435046,60,-0.8879090622089247,1.400075097652805,0.34542114696990395,0.096,
