asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
SOL,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,1.75,3.0,9.0,13,20,8,18,52,2.938101961229794,9.03574524768953,312,0.15904201252733874,0.17964419834464174,129,-0.6069952966494381,-0.77376303480583,108,-3.3055333889042138,0.8768195423750597,-0.2065943608013418,0.346,
ADA,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; OVERFIT,2.5,2.5,4.5,9.5,9,33,8,22,52,3.1882521294521164,16.163779634799024,351,-1.9621160830288438,-3.879908691984879,135,1.9029626976774126,2.762249435581543,90,-2.2089667007579306,1.4699981729475367,0.5968670670987448,0.006,
XRP,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,5.0,6.5,8.5,8,30,9,15,52,3.1520928452774437,13.81146220086209,213,0.19761043039506662,0.2675685338781042,72,0.17976719312118228,0.2424259828317732,72,-1.864570870932225,1.0359146608931311,0.05703105902813575,0.234,
BNB,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,2.25,7.5,10.0,20,38,9,25,52,2.482411453772485,8.624818155553292,258,0.37114322409918876,0.4675621520451312,96,-0.41971773974308446,-0.6181208985871267,102,-4.122388749494288,0.9121410595808928,-0.1690766206807681,0.75,
TRX,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.75,4.5,8.0,5,31,10,30,52,2.3858221940903017,13.80161195689482,349,-2.332983094425677,-5.030554000582432,132,-0.6051820669133956,-1.2538269672372038,123,-3.656179868072429,0.8978203633584725,-0.25365765664031287,0.422,
LTC,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,4.5,8.0,10.0,6,20,9,22,52,3.2665300942020576,12.425387730788163,192,0.01875689595711052,0.003315270267423287,66,-1.5790926648876324,-1.9943226152804527,57,-2.797435466083298,0.6521152733499446,-0.4834159243444443,0.602,
MATIC,FAIL,binance,1H,2024-01-25,2024-09-10,5499,42,TRADES<50,5.0,1.5,5.5,6.0,12,40,9,30,52,9.225043619616264,3.8228479521083214,87,-2.0031903009843934,-0.6529882794718667,39,6.829199102884928,0.5958508121875372,13,-0.010526340586602956,27.05114894440015,0.7402890852855397,0.0,
ATOM,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,3.25,8.0,10.0,12,20,11,15,52,2.716079378504006,9.944334828437373,231,1.0708463977556666,1.2910532646583261,69,-1.5943570514490846,-2.2020527652055866,75,-3.2274280334124827,0.6751783265569514,-0.5870067951869813,0.522,
LINK,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; OVERFIT,4.75,1.75,7.0,10.0,6,34,8,28,52,5.024508712663024,11.858876913839467,243,-1.6664297772260621,-2.132094761186909,117,1.9333330447559403,1.7261529363972627,99,-0.9541706527625982,1.6360390241600877,0.38478051394028945,0.006,
UNI,FAIL,binance,1H,2024-01-25,2026-01-23,17520,42,WFE<0.6; OVERFIT,2.0,4.5,8.5,10.0,8,20,15,23,52,2.9402544735174647,21.601789376320912,291,-0.8115457092912294,-2.041136180065428,123,1.1831053568605103,2.533731688310481,75,-2.1231182399350845,1.314887578462538,0.40238195962853035,0.064,
