asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
AAVE,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,5.0,8.0,10.0,19,20,9,17,52,4.564298470021485,15.732592680161206,171,-1.4034340269712766,-1.7351909103293317,55,-0.6824862009644526,-0.9984831286697582,78,-2.296051585386394,0.8613777493387604,-0.14952707528814171,0.322,
MKR,FAIL,binance,1H,2024-01-25,2025-09-15,14378,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.75,5.0,7.5,8.0,9,22,10,29,52,3.4743568926773896,12.098740069826274,177,-1.6856593715846555,-2.1693045918621867,61,-0.08372695789408165,-0.09854094303564098,39,-1.0243477999679174,0.9724495871195614,-0.024098548445194542,0.628,
CRV,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.0,4.25,5.5,6.0,12,38,11,17,52,1.155245225624531,8.796493995428744,358,-3.801814346362172,-8.034778640870922,108,1.0130106895612851,2.6073939599268847,111,-2.0781778191818923,1.2143075170661277,0.8768793560809973,0.098,
SUSHI,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,3.75,3.25,6.0,8.5,7,32,10,19,52,3.0328197072479437,12.091529999119555,255,3.684374970516039,4.875989659649926,90,1.895570119841676,2.9623066050138647,105,-3.2888130153250317,1.4370528708265284,0.6250190590992181,0.018,
RUNE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,1.5,4.75,8.0,10.0,5,38,14,15,52,3.9497107970612246,37.03735414575971,285,1.1444195047857926,3.063349575381591,108,2.4221340117101176,8.230073071631061,102,-3.5519029022532456,1.6763974221152274,0.6132433831642312,0.006,
INJ,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.5,5.0,7.5,8,24,8,18,52,2.9587681235977747,14.726938761671015,273,2.1933088599348634,4.213095218451368,132,0.5458442706488917,0.9397189066256972,114,-3.982880424394142,1.0997006600100838,0.18448362556548067,0.072,
TIA,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,5.0,2.5,9.0,9.5,13,38,12,18,52,3.7864081800263913,11.402510273126953,225,0.5250573924277748,0.6362091069667786,90,5.1571414669337745,3.9437472318779365,75,-0.5100001661689668,4.588024801643952,1.3620141362830642,0.0,
SEI,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,2.0,5.5,9.0,5,30,8,27,52,3.865236759293905,10.84445705860868,258,1.4472796851575465,1.8095056799988685,108,0.35134222901993917,0.3606687062263081,78,-2.42908775045243,1.0864233649329469,0.09089798397863777,0.074,
CAKE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.25,3.75,9.0,10.0,19,40,8,22,52,3.0407299845471556,22.318533162617026,270,0.5609427163324611,1.0928518055253411,90,2.460669628746496,4.853847589015947,90,-2.1353343013893245,1.6829972568001035,0.8092364798096185,0.066,
TON,SUCCESS,binance,1H,2024-08-08,2026-01-24,12807,42,,2.75,2.0,7.5,9.0,20,35,10,23,52,2.171865392117632,7.19946592541052,204,-5.91325591106855,-7.997278053751112,87,2.5400679911677684,2.4328655893227857,69,-1.2472555998482737,1.8706494987987832,1.169532881911769,0.034,
