asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
PEPE,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,2.75,1.75,4.0,5.5,5,34,15,27,52,2.9003450582354766,11.888776407158087,381,0.38419283807157684,0.4955112398995931,114,1.40360731763914,1.9075883851689568,105,-1.9263607927641702,1.3297929177588725,0.48394494084544276,0.064,
ILV,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,2.0,2.75,8.5,10.0,8,40,9,21,52,3.572384103384242,23.90477519958718,333,2.4449888730380156,5.927588603810463,126,1.9062864221244555,3.920311514113517,85,-2.124416508128124,1.5585294564448038,0.5336174294131936,0.026,
GALA,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.5,5.5,10.0,17,37,14,20,52,2.7076328137644445,10.98667768962791,225,0.9736651307832367,1.3198086399549114,75,-0.5827260523935777,-0.8112479079593449,66,-3.0447785426667595,0.8685163568092897,-0.21521605493597515,0.288,
SAND,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,1.75,4.75,6.5,10.0,11,34,15,28,52,2.717109118329012,21.240511423817154,306,-1.9249163446985715,-5.305114307542569,132,1.3373755376570484,3.4944901940593187,99,-3.1978465667201528,1.3081207570525784,0.49220531064998874,0.098,
MANA,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.5,3.25,8.5,9.0,8,25,8,25,52,2.180397262578712,19.79697145665089,345,-0.26214930827583616,-0.9475397188691947,141,0.22623533947226693,0.5808097507215226,129,-4.378041786431163,1.0346224215225095,0.10375877064012773,0.268,
ENJ,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.25,2.25,7.5,9.0,16,39,8,27,52,3.5309695650209454,19.096348614890445,324,-2.3107213746364197,-4.391444448812887,126,-1.959178827663257,-3.858389207041002,132,-5.304973841335292,0.6891001093036764,-0.5548557673992965,0.646,
FLOKI,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.25,5.5,6.5,5,32,10,29,52,3.3407109507414634,16.893994866117712,288,-1.0485401084266512,-2.0832023920160148,120,-1.7145590567021196,-3.0135042839567694,96,-5.823265910238651,0.7108671221399359,-0.513231788677071,0.616,
WIF,FAIL,binance,1H,2024-03-05,2026-01-24,16547,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.75,3.25,5.0,10.0,16,20,16,30,52,5.517086868558001,17.999331394492234,219,0.4024308218321445,0.5393813607117437,102,0.8627147755412167,1.0949991489773936,80,-1.5434758595477938,1.1940564543825578,0.15637143226035594,0.096,
RONIN,FAIL,binance,1H,2024-02-05,2026-01-24,17244,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.5,1.75,6.0,8.5,6,22,8,19,52,3.1769780127105642,18.036857848971998,306,-0.14849163938273252,-0.3500532392379352,126,-0.9590292657834808,-1.9110982084643013,99,-4.6247814348651435,0.8101355839572769,-0.30186839882006206,0.126,
AXS,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,3.5,2.0,4.5,5.5,7,21,12,20,52,4.206036762784814,14.485734749138945,324,2.9302067447756306,3.94504394629549,138,1.686943191150474,2.106938957784865,117,-1.2575827715652466,1.39960661401472,0.4010766634463628,0.384,
