asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
FIL,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,2.0,5.5,8.5,8,36,9,21,52,3.6650890519370143,9.612099295939691,276,-0.8180065995784807,-0.9618451779960346,117,-0.3000691256293613,-0.27641967997887873,56,-2.7763776466965595,0.9114940323977604,-0.08187226050367685,0.442,
GRT,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,4.75,8.5,10.0,6,21,11,21,52,3.2580993920819545,13.534276701194802,201,0.21684068226274872,0.2862531873227381,75,-0.98139777238863,-1.483623742844975,78,-3.3407557725556924,0.7957360294296764,-0.30121787406906214,0.258,
THETA,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,2.0,2.5,9.0,9.5,14,35,14,17,52,2.5011157199842127,17.259105606486603,339,-1.2097276991798225,-3.122605519628685,150,1.3101073003358172,2.6467074729824347,99,-3.927666449228029,1.3495207504894184,0.5238091503995213,0.026,
VET,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,2.5,4.75,9.0,10.0,5,35,10,26,52,3.250174182397801,20.120030907825704,225,0.07943404316441946,0.11729560684499152,114,1.7311273847197506,3.286544356409715,75,-1.9296055742163087,1.4455210646228394,0.5326260340430798,0.004,
RENDER,FAIL,binance,1H,2024-07-26,2026-01-24,13121,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,4.0,7.0,10.0,20,29,14,27,52,4.244971967097475,11.678768800207195,138,-1.4235681883189433,-1.6129948509461256,69,-0.39420506914068026,-0.44828849118728753,56,-2.060632078936808,0.9126977611491732,-0.0928639982068528,0.448,
EGLD,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,5.0,1.75,4.0,5.5,5,28,8,19,52,3.073678151049541,7.52435380320311,306,0.6540227062904687,0.6403539014752324,120,2.0362859558929713,1.7047727244601019,90,-1.0180166131415924,1.6426097955384331,0.6624915999086174,0.012,
KAVA,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,2.75,5.5,7.0,10,37,11,27,52,3.1460903492302403,21.120136261051204,345,-0.758924763175554,-1.8231250533125576,132,0.4224862278232518,0.919601445964191,102,-2.773033001404779,1.08417012100945,0.13428928636033047,0.026,
CFX,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,3.5,9.5,10.0,17,39,11,30,52,3.679299586400443,19.107717190501617,250,-0.6743819339267632,-1.156519187945182,94,-1.7614318231035628,-3.0393667862399387,91,-4.522135008997063,0.6580652604375353,-0.47874107061415416,0.474,
ROSE,FAIL,binance,1H,2024-01-25,2026-01-24,17520,42,WFE<0.6; OVERFIT,4.75,2.0,8.0,10.0,12,23,15,30,52,2.1527291867943124,6.364748207963289,258,1.472036709091127,1.3813389194165415,90,1.1839046640351456,1.4331668798725827,90,-1.277618437464989,1.3091279038793806,0.5499552248827593,0.23,
STRK,FAIL,binance,1H,2024-02-20,2026-01-24,16884,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,5.0,1.5,3.0,4.5,19,31,11,30,52,4.42958144990773,7.5067841672063595,234,-1.2570732543549235,-1.32042477039509,105,0.997201460656561,0.8494382152525182,99,-1.0221912895481022,1.2732458649759164,0.22512317968040368,0.238,
