,TIA,CAKE,RUNE,EGLD,SHIB,DOT,NEAR,DOGE,ANKR,ETH,JOE
TIA,1.0,0.07263464039966638,0.029306388335166182,0.08129119453197314,0.17333261490915947,0.19340223211055174,0.13247568369489776,0.12156915500264302,0.1446835723432306,0.1214660592898908,0.09127341161788499
CAKE,0.07263464039966638,1.0,0.07620748065668458,0.07104596474119405,0.17034073312426207,0.24913696187792925,0.10250934466102332,0.18067141217243896,0.23538992311089574,0.14119892684253102,0.1229359506460795
RUNE,0.029306388335166182,0.07620748065668458,1.0,0.03322965216292097,0.1983812351556488,0.15413475869689672,0.13264652552221282,0.1552981929782971,0.1761689956131936,0.125081151040782,0.1516453388169095
EGLD,0.08129119453197314,0.07104596474119405,0.03322965216292097,1.0,0.10888455607362015,0.0867877977771539,0.10659708018719133,0.09666943432469391,0.12919721558257447,0.015254814502293232,0.15452816195043445
SHIB,0.17333261490915947,0.17034073312426207,0.1983812351556488,0.10888455607362015,1.0,0.2752505163343611,0.10304145850833904,0.3615699725474689,0.19478545334264835,0.24138754117198782,0.22132111717689748
DOT,0.19340223211055174,0.24913696187792925,0.15413475869689672,0.0867877977771539,0.2752505163343611,1.0,0.16843399559500916,0.2957804085745428,0.23808788010663373,0.2530766043051931,0.19910773802390105
NEAR,0.13247568369489776,0.10250934466102332,0.13264652552221282,0.10659708018719133,0.10304145850833904,0.16843399559500916,1.0,0.1493975421305248,0.22486445572211042,0.1211324548955368,0.105869198810273
DOGE,0.12156915500264302,0.18067141217243896,0.1552981929782971,0.09666943432469391,0.3615699725474689,0.2957804085745428,0.1493975421305248,1.0,0.21828686347912918,0.2168461574730087,0.18887299619206027
ANKR,0.1446835723432306,0.23538992311089574,0.1761689956131936,0.12919721558257447,0.19478545334264835,0.23808788010663373,0.22486445572211042,0.21828686347912918,1.0,0.15224595295482216,0.21413439463569606
ETH,0.1214660592898908,0.14119892684253102,0.125081151040782,0.015254814502293232,0.24138754117198782,0.2530766043051931,0.1211324548955368,0.2168461574730087,0.15224595295482216,1.0,0.16757553229518296
JOE,0.09127341161788499,0.1229359506460795,0.1516453388169095,0.15452816195043445,0.22132111717689748,0.19910773802390105,0.105869198810273,0.18887299619206027,0.21413439463569606,0.16757553229518296,1.0
