asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
TIA,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,5.0,2.5,9.0,9.5,13,38,12,18,52,3.786408163909095,11.402510209772366,225,0.5250573897923444,0.636209103605978,90,5.157140789485458,3.943746272411608,75,-0.5100001714542501,4.588023927315067,1.3620139631648207,0.0,
CAKE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.25,3.75,9.0,10.0,19,40,8,22,52,3.0407297626263783,22.31853120945724,270,0.5609427148637142,1.09285180248202,90,2.460666703724252,4.853841356797162,90,-2.135334427304736,1.682996078891662,0.80923557692246,0.062,
RUNE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,1.5,4.75,8.0,10.0,5,38,14,15,52,3.949710879198641,37.037355292118605,285,1.1444194990821652,3.0633495578143544,108,2.4221332948556498,8.230070137184686,102,-3.5519029970678906,1.676397180944498,0.6132431889159132,0.006,
EGLD,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,5.0,1.75,4.0,5.5,5,28,8,19,52,3.073678124645755,7.52435373713416,306,0.6540226947378831,0.6403538898698491,120,2.0362857832484327,1.704772575605884,90,-1.0180166146440128,1.6426097214069375,0.662491549430901,0.006,
SHIB,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,1.5,4.5,6.5,10.0,16,25,14,18,52,2.388570881259828,19.592476098756183,309,-0.0580649617216306,-0.2754957691787463,129,5.020389087071844,15.69283871815037,105,-2.005847870284005,2.575138739453777,2.101838018063709,0.0,
DOT,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.5,4.5,8.5,10.0,6,40,16,26,52,2.777379078033433,17.324052448466798,270,-0.3111206463765806,-0.617859212133498,85,4.821749439518922,10.603783434743486,87,-1.4109111165128252,2.976034250615865,1.736078980955325,0.0,
NEAR,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,4.5,2.25,7.5,10.0,5,40,8,25,52,2.5163089456398424,8.644268852412274,282,0.0673248661987694,0.0616116908931596,96,4.256916005171675,4.53699886438661,87,-1.3946345680873828,2.713142937686752,1.691730267282118,0.0,
DOGE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.5,3.5,5.5,10.0,14,26,10,16,52,2.4964762404255327,14.344133816312944,303,-0.5529832676834183,-1.074770404751979,111,3.88002217486308,7.392081525458116,99,-1.5237349508395617,1.997593913975377,1.5541995201210954,0.0,
ANKR,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,2.75,3.25,6.5,10.0,8,39,8,16,52,4.053588249858494,19.51719840788457,255,1.6893612477121014,2.9440174697809685,111,3.4752738739124487,5.776700941318058,87,-1.2137559914768503,2.070556646291209,0.8573327283632634,0.0,
ETH,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,3.0,5.0,6.0,10.0,13,32,8,18,52,3.040418255184089,17.559708725161283,267,-0.3583403340166896,-0.8345540525135031,112,3.227317502764543,5.404968769769458,72,-1.680826464051688,2.005365538150971,1.0614715581521654,0.004,
JOE,SUCCESS,binance,1H,2024-01-25,2026-01-24,17520,42,,3.25,5.0,7.0,9.5,13,23,14,24,52,3.638830392754268,20.03976583693392,270,2.625069487885169,4.474454427240615,90,2.654165287444773,4.6558773553667,78,-1.495204123037441,1.744023642973081,0.7294006592694771,0.0,
