section,asset,metric,value
correlation,ETH,ETH,1.0
correlation,ETH,SOL,0.08080447547450222
correlation,ETH,XRP,0.14979693596814786
correlation,SOL,ETH,0.08080447547450222
correlation,SOL,SOL,1.0
correlation,SOL,XRP,0.056089134227499476
correlation,XRP,ETH,0.14979693596814786
correlation,XRP,SOL,0.056089134227499476
correlation,XRP,XRP,1.0
equal_weight,ETH,weight,0.3333333333333333
equal_weight,SOL,weight,0.3333333333333333
equal_weight,XRP,weight,0.3333333333333333
equal_weight,portfolio,return_pct,18.917063357871953
equal_weight,portfolio,sharpe,4.353248609745332
equal_weight,portfolio,max_dd_pct,-0.628006680710802
optimized_weight,ETH,weight,0.21548078925402858
optimized_weight,SOL,weight,0.5228553628607556
optimized_weight,XRP,weight,0.2616638478852158
optimized_weight,portfolio,return_pct,16.184570548416268
optimized_weight,portfolio,sharpe,4.52219698259437
optimized_weight,portfolio,max_dd_pct,-0.4660434601860941
