asset_a,asset_b,daily_return_corr,overlap_days,total_days,overlap_pct,mean_correlation,warn_mean_corr
BTC,ETH,0.13504299820938986,307,722,42.5207756232687,0.08568852161933288,False
BTC,AVAX,0.0935957980494723,314,722,43.49030470914128,0.08568852161933288,False
BTC,UNI,0.03388862923691765,280,722,38.78116343490305,0.08568852161933288,False
BTC,SEI,0.07455671556033072,252,722,34.903047091412745,0.08568852161933288,False
ETH,AVAX,0.08839091272294088,242,722,33.51800554016621,0.08568852161933288,False
ETH,UNI,0.14674155942200118,244,722,33.795013850415515,0.08568852161933288,False
ETH,SEI,0.06462146577903646,203,722,28.116343490304708,0.08568852161933288,False
AVAX,UNI,0.04506253114371603,229,723,31.673582295988933,0.08568852161933288,False
AVAX,SEI,0.06200578657708101,234,723,32.365145228215766,0.08568852161933288,False
UNI,SEI,0.11297881949244279,204,723,28.21576763485477,0.08568852161933288,False
