asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe_pardo,return_efficiency,degradation_pct,mc_p,error
YGG,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,4.25,2.75,6.0,6.5,10,20,8,17,52,3.876714160084417,12.92205756177578,256,-0.02178322404896181,-0.05261136097928221,103,3.2912267175660355,4.053734353550453,78,-0.8681148318832488,2.1337724031917826,0.8489732752167541,0.31370656988416784,15.102672478324585,0.006,
MINA,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,4.25,3.0,8.0,8.5,9,26,14,25,52,2.1851422813614447,8.23177402478934,234,2.2561601387152868,2.889606345837148,90,2.253962327837541,2.2967323221201985,60,-1.5221189151168546,1.9012837658440753,1.0314945379360918,0.2790081840443834,0.0,0.04,
CAKE,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,2.25,3.75,9.0,10.0,19,40,8,22,52,2.8103922964101096,20.772790942263384,271,0.5609442119758502,1.0928549046295588,90,1.9817669329103964,3.946323458419254,90,-2.1538286789888894,1.5298188351845892,0.7051566912711196,0.1899756017083984,29.484330872888044,0.076,
RUNE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,1.5,4.75,8.0,10.0,5,38,14,15,52,3.730692094784967,34.830208553793085,282,0.9405854408923109,2.512434777812822,111,1.7433049223136243,5.849308299739997,102,-3.6305304430679364,1.4633714899955903,0.4672872694990141,0.16793779143487197,53.271273050098586,0.006,
EGLD,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,5.0,1.75,4.0,6.0,5,26,8,21,52,3.15798654752359,7.7445781852437445,309,0.6316106865522962,0.6153582368072508,120,2.207263530187378,1.8639431460191203,91,-1.0178702590860067,1.7267238883268634,0.6989464638214675,0.24067716813429738,30.105353617853247,0.006,
AVAX,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,5.0,1.5,8.5,9.5,8,25,15,17,52,5.152613777548809,13.902390727603308,276,-1.4525667248528198,-1.6676133340658428,108,2.162648869650866,2.1031157921754584,90,-1.8460210628172824,1.8245024781791894,0.4197187996263281,0.15127727549763834,58.028120037367195,0.006,
HBAR,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,1.5,2.75,5.5,10.0,9,22,11,15,52,2.248633939360804,17.41938564792267,360,-2.2195741597852403,-5.231974535228423,121,2.04546862934452,4.907552196953557,117,-2.4576721643332133,1.4295111000466079,0.9096494514024654,0.28172935005539657,9.035054859753455,0.016,
TON,SUCCESS,binance,1H,2024-08-08,2026-01-27,12883,42,,5.0,2.25,8.0,10.0,19,36,10,24,52,1.836867577554493,3.69899035999246,147,-2.5794762367685604,-1.8525668530174566,48,1.5691513779083228,1.0737386796596526,63,-1.0361645788647067,1.5231880114672829,0.8542539468182061,0.2902788531900476,14.57460531817939,0.036,
SUSHI,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,4.75,3.25,6.5,9.0,5,40,10,18,52,3.9431511742533867,12.767378333495106,229,0.9638944277335748,1.0351347439591763,72,2.034885606877781,2.5176414776332257,93,-1.8374829761394373,1.54552781611024,0.5160556917433111,0.19719330091661927,48.39443082566889,0.012,
CRV,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,2.0,4.25,5.5,9.0,20,21,15,29,52,1.1683116133394948,8.145042784870448,333,-3.444824399774955,-6.89279020806598,96,1.4834969940403433,3.2706667918219967,96,-2.52187989323166,1.3258296795259252,1.2697785223583669,0.4015530523544105,0.0,0.046,
BTC,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,4.5,7.5,9.5,10,29,12,28,52,3.265078720529779,13.944733042524305,231,-0.13728598274235476,-0.23902662256941598,84,-0.1757079989809777,-0.2806824917279127,75,-2.096852588714704,0.9593382910224623,-0.05381432241623504,-0.020128208325822707,105.38143224162351,0.268,
ONE,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,1.5,4.75,5.5,7.5,5,26,11,18,52,3.4478179115128444,32.932467621921525,321,-0.5724839391972956,-1.7700621834645935,126,2.9033414709998144,8.887446275986877,111,-2.512628532860872,1.730241323208065,0.8420808596953652,0.26986882301133547,15.791914030463483,0.0,
SEI,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,2.0,5.0,9.0,6,39,8,30,52,3.876170596920873,10.778952823529142,264,1.5059676078292883,1.8702481788455794,111,0.4382782837617187,0.45142488902814026,78,-2.4297771353906983,1.1102350945842185,0.11306991599128154,0.04188021753307378,88.69300840087185,0.04,
AXS,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,2.5,2.0,4.5,7.5,7,20,10,21,52,3.672726485134971,16.444164273562613,354,3.489161881450525,5.7411631675665875,136,1.2051921294924584,1.967329040961574,138,-1.72353130425561,1.2363272671874415,0.32814644226036566,0.1196369124166718,67.18535577396342,0.488,
SOL,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,4.5,2.0,3.0,8.5,8,20,9,21,52,2.65856682422472,7.742707086174794,287,0.9624419287707585,1.0885425170679808,120,3.24620290623011,2.842913873948283,93,-0.7747755246523935,2.1036138645992715,1.2210349112352117,0.3671731143006206,0.0,0.002,
AAVE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.75,4.0,5.0,10.0,19,39,8,26,52,4.985619042949041,16.233324271268714,207,-0.1620890784265644,-0.22439554165595288,72,-0.7096763108373957,-0.980798865602106,81,-2.0668059627057533,0.8528596815257824,-0.14234467269236348,-0.060418855017762285,114.23446726923633,0.318,
ZIL,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,2.75,5.0,6.0,8.5,8,20,9,26,52,2.5494462163266114,16.248446421351726,291,-1.1863347084946958,-2.347002691170186,93,-2.1309707716990425,-4.243504061348613,90,-5.149815983094907,0.631273483191533,-0.8358563354081922,-0.2611636799794175,183.5856335408192,0.604,
GALA,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,4.5,5.5,8.0,17,37,14,20,52,2.611535344111073,10.876798270829013,228,-0.05443164704466979,-0.10543670706849584,78,-0.6171576531183554,-0.8517689871864742,66,-3.0445817311907875,0.8617899774935094,-0.23631985472072042,-0.0783106357199685,123.63198547207203,0.264,
