asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe_pardo,return_efficiency,degradation_pct,mc_p,error
HBAR,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,1.5,2.75,5.5,10.0,9,22,11,15,52,2.247828365755937,17.4145144495216,360,-2.219575060880796,-5.2319772415907355,121,2.045474328401712,4.907563667503756,117,-2.4576606937830148,1.4295125351102185,0.9099779856696604,0.28180881423533305,9.002201433033964,0.013972055888223553,
TON,SUCCESS,binance,1H,2024-08-08,2026-01-27,12887,42,,5.0,2.25,8.0,10.0,19,36,10,24,52,1.8365053868758376,3.69899035999246,147,-2.5794759006828234,-1.8525666139079466,48,1.5688419593358605,1.073738646488298,63,-1.0361645966244337,1.523187994778199,0.8542539382390206,0.2902788442223696,14.574606176097937,0.0499001996007984,
SUSHI,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,4.75,3.25,6.5,9.0,6,40,10,19,52,3.9431511749481545,12.767378336403956,229,0.9638948519008432,1.035135233933926,72,2.034886131978855,2.5176421959790307,93,-1.8374829629896228,1.5455279717629202,0.516055824820262,0.19719335713585084,48.3944175179738,0.017964071856287425,
CRV,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,5.0,5.5,6.0,5,24,10,28,52,0.8272126384436822,3.909625292621377,246,-1.732522009794117,-2.695897498551836,84,-0.2573056155902437,-0.4539174749842445,75,-2.3317840299655446,0.9366577087652014,-0.3110513592663894,-0.11610255229341837,131.10513592663895,0.2554890219560878,
ONE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,1.5,4.75,5.5,7.5,5,27,14,19,52,3.461561975454701,32.75138761589966,321,-0.3917608281494522,-1.2395413988447346,123,1.7793509455936218,5.460005117331379,117,-2.5972185843749607,1.3955960175448165,0.514031225848525,0.1667106499842082,48.596877415147496,0.011976047904191617,
SEI,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,2.0,5.5,7.5,19,32,8,30,52,4.105352782047602,11.23285082475778,249,2.033318612514855,2.3644609201810773,99,0.22454107657104566,0.22293527803836088,78,-2.4347978399806736,1.0543799855379556,0.054694709198426714,0.019846722930478174,94.53052908015734,0.0718562874251497,
AXS,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,3.5,2.0,4.5,6.0,7,21,12,20,52,3.968104700239728,13.724478654771865,330,3.074547158293119,4.1403347618244934,139,1.3542372518915615,1.7270649753260425,120,-1.2680543518011733,1.3050307470590912,0.34128062493153144,0.12583829366265648,65.87193750684686,0.40718562874251496,
AAVE,FAIL,binance,1H,2024-01-28,2026-01-27,17521,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.75,4.0,5.0,10.0,19,39,8,26,52,4.9856190430991525,16.233324271929494,207,-0.16208872332985472,-0.22439510166825105,72,-0.7095738788854592,-0.9807988919304789,81,-2.0668059632480085,0.8528596781502743,-0.14232412720494886,-0.06041885663717485,114.23241272049489,0.26746506986027946,
ZIL,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,2.75,5.0,6.0,8.5,8,20,9,26,52,2.549127151167778,16.24694237534998,291,-1.4542939533417567,-2.8532458630717294,93,-0.8923612808095265,-1.7131099022027918,84,-3.5381880383174247,0.8272228213934918,-0.350065425493086,-0.10544198795226471,135.0065425493086,0.26147704590818366,
GALA,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,4.5,6.5,9.5,7,24,16,22,52,3.0494931048679828,12.687769675016769,228,0.6473191843214647,0.853105929034581,70,-2.5523056541039386,-3.5960929605181047,66,-5.540411377231846,0.4999646122660906,-0.8369606247115722,-0.28342987401474495,183.6960624711572,0.7365269461077845,
