asset,base_sharpe,guard001_p_value,guard001_pass,guard002_variance_pct,guard002_pass,guard003_sharpe_ci_lower,guard003_pass,guard005_top10_pct,guard005_pass,guard006_stress1_sharpe,guard006_pass,guard007_mismatch_pct,guard007_pass,guard008_pbo,guard008_pass,guard_wfe,guard_wfe_pass,overfit_psr,overfit_dsr,overfit_sr_star,all_pass,error
TON,0.7969989752244774,0.003996003996003996,True,51.60918386983382,False,-0.657393267018258,False,94.45755019983304,False,0.4212143526344776,False,1.9040790610930545e-14,True,,True,,False,0.8240961097561248,,,False,
HBAR,1.5025639537128452,0.001998001998001998,True,9.929856690683504,True,0.6160533132580474,False,36.37671181969717,True,0.8061367689638652,False,0.0,True,,True,,False,0.9835786806570459,,,False,
EGLD,2.4451339590518164,0.000999000999000999,True,6.051564542798026,True,2.5895342583305463,True,10.542918336364405,True,1.87818865286858,True,1.1102670480098221e-14,True,,True,,False,0.9976910503904503,,,False,
ONE,2.4422600974801263,0.000999000999000999,True,6.050494983631572,True,2.418148402504265,True,21.32475155017224,True,1.9911424589839368,True,2.4796020935590317e-14,True,,True,,False,0.9999135998691007,,,False,
ETH,1.6532728380934278,0.002997002997002997,True,13.814392610181756,True,1.1243832379799947,True,25.310717608467385,True,1.1110257363953941,True,1.2364435950375582e-14,True,,True,,False,0.9840367631511988,,,False,
BTC,2.181809964474261,0.001998001998001998,True,8.627686186800942,True,1.9994721481579807,True,17.613995759829628,True,1.6265844963691365,True,0.0,True,,True,,False,0.9984496646099833,,,False,
SUSHI,3.0492158953880124,0.000999000999000999,True,4.377444288077188,True,3.66444000019868,True,12.957044029552737,True,2.7393373451517626,True,0.0,True,,True,,False,0.9999770876191426,,,False,
CRV,-0.10119511505956884,0.3826173826173826,False,-169.73237552855832,True,-2.2608824397651945,False,-409.1249017114496,True,-0.5966064215938379,False,1.685419754266511e-13,True,,True,,False,0.4433778028077179,,,False,
AAVE,1.993708370344565,0.002997002997002997,True,13.009060211398072,True,1.7024650897581537,True,17.63236635295246,True,1.738717264757364,True,2.033015932596086e-14,True,,True,,False,0.9953611054769305,,,False,
SEI,2.30464908723312,0.000999000999000999,True,5.348479143448181,True,2.199003702545276,True,17.604278104343912,True,1.935915626447698,True,0.0,True,,True,,False,0.9980854471385886,,,False,
RUNE,2.804374923563097,0.000999000999000999,True,2.6071446761901385,True,2.8655008951575613,True,20.32814221920661,True,2.362232487994871,True,2.0701763867352396e-14,True,,True,,False,0.9999965438658409,,,False,
MINA,2.395294763757377,0.000999000999000999,True,5.702592822354053,True,2.39373328477889,True,18.330604873728465,True,2.1436249867630184,True,0.0,True,,True,,False,0.9996049396115585,,,False,
YGG,2.576167676985694,0.000999000999000999,True,3.10755333363218,True,2.8264317100033924,True,17.400591774347486,True,2.3077213373317766,True,1.504320666179839e-14,True,,True,,False,0.9996617915610145,,,False,
CAKE,2.4898559016731263,0.000999000999000999,True,6.195012201926995,True,2.6002313315370693,True,20.724039889955748,True,2.059705348669858,True,0.0,True,,True,,False,0.9999025203188312,,,False,
