asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe_pardo,return_efficiency,degradation_pct,mc_p,error
BTC,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,4.25,4.5,8.0,9.0,10,20,13,29,52,3.045700356692067,13.21525012345628,231,-0.07884409452394851,-0.15592306592711047,84,1.6524050939886914,2.373850761367624,69,-1.8176968419051032,1.4485425902524307,0.5425369867255646,0.179629650531864,45.74630132744354,0.033932135728542916,
ETH,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,4.25,2.25,6.0,10.0,13,20,13,19,52,1.7760567474642106,5.8877811206168085,258,0.4023465235594417,0.5091305668223134,114,3.214405552961483,3.146484539175698,69,-1.0359414503128717,2.1967758898513847,1.809855207358039,0.5344092239023434,0.0,0.005988023952095809,
ONE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,1.5,4.75,5.5,9.0,5,27,12,16,52,3.4910408068421908,33.277616656328355,321,-0.5262513662865146,-1.646612411305215,126,1.8003139639920342,5.575418398187582,117,-2.5947018888548334,1.403921422962169,0.5156954798304125,0.16754259945257566,48.430452016958746,0.00998003992015968,
EGLD,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,5.0,1.75,3.0,5.5,6,33,8,19,52,3.0371452555375025,7.230871087987989,309,0.9739146271768249,0.9553510928307363,120,2.077868233330974,1.7124245098227853,87,-1.0193727740942293,1.6676490111313889,0.684151747283895,0.23682133023606045,31.584825271610494,0.011976047904191617,
TON,SUCCESS,binance,1H,2024-08-08,2026-01-27,12895,42,,5.0,2.25,9.5,10.0,5,26,9,28,52,1.9744412505039395,4.3956424664508775,153,-2.059243652717701,-1.5614963163237738,51,1.454145445867822,1.0787378355016974,63,-1.03616503081998,1.525623877858886,0.7364845348002521,0.24541073204543185,26.35154651997479,0.03992015968063872,
HBAR,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,1.5,2.75,5.5,10.0,9,22,11,15,52,2.4181216196930073,18.518657904762257,354,-2.232142262459607,-5.260570742442738,123,2.045501342591838,4.907618038718287,117,-2.457606322568484,1.4295193376013375,0.8459050719092964,0.26500937940304214,15.409492809070358,0.015968063872255488,
SUSHI,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,3.75,3.25,7.0,8.0,10,38,10,29,52,3.3461624929717044,13.593460444912587,249,3.118961582140198,4.436066452966925,87,2.510900024867314,3.746097290817496,96,-2.4261760652043995,1.6592273033148366,0.7503819764106555,0.2755808431560552,24.96180235893445,0.001996007984031936,
CRV,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,2.0,2.25,6.5,9.0,20,34,16,23,52,0.21043843522488798,1.0624955574074058,342,-2.761976340518331,-4.998414731038814,99,2.6043095397450586,4.587598367516366,93,-1.8301904535167668,1.6684901749479972,12.37563630884219,4.317757693698559,0.0,0.00998003992015968,
SEI,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,4.25,2.0,6.0,8.5,5,31,8,26,52,4.046690437683497,11.326342073653638,255,1.0164116696003804,1.3194918369530129,114,0.20391700220479161,0.2030321723732742,78,-2.4283952968014444,1.049579168692696,0.05039105544270953,0.01792566135235754,94.96089445572905,0.06187624750499002,
AAVE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,OOS_SHARPE<1.0; WFE_PARDO<0.6; OVERFIT,5.0,4.0,5.0,6.5,18,39,12,16,52,4.653432225576092,14.871239718344697,210,-0.3006710642547889,-0.4102087909938157,84,-1.6035371778157201,-2.182255108524367,78,-3.400317452083279,0.6953159299714876,-0.34459235679900835,-0.1467433213273003,134.45923567990084,0.5049900199600799,
MINA,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,3.5,5.0,7.5,9.0,6,35,8,15,52,2.2466632475627106,10.940470206134712,228,2.648128586095901,4.035739201250155,64,2.118854923432713,3.425934662541774,69,-1.0462738051739917,1.6042141697356254,0.9431119353251316,0.3131432742827388,5.68880646748684,0.03592814371257485,
RUNE,FAIL,binance,1H,2024-01-28,2026-01-27,17520,42,WFE_PARDO<0.6; OVERFIT,1.5,4.75,9.0,10.0,5,33,14,16,52,3.696693264213513,35.64100995521164,274,0.9400978907141576,2.6530214487366033,114,1.8475267822338934,6.538079545750675,102,-3.6157095601922262,1.517474382063168,0.49977822074641687,0.18344260036308643,50.022177925358314,0.005988023952095809,
YGG,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,4.25,2.75,7.5,8.5,7,23,8,17,52,3.820405645448673,12.73436516264439,235,-0.8167281864678295,-1.1530361015866242,100,3.3985569168539325,4.054356932911118,72,-0.8664118177197255,2.3246708510620326,0.8895801211326086,0.3183791952820991,11.041987886739136,0.001996007984031936,
CAKE,SUCCESS,binance,1H,2024-01-28,2026-01-27,17520,42,,2.25,3.75,8.5,10.0,17,40,8,22,52,2.845751961738704,19.86748801478495,273,1.3170996810925069,2.5638238224029664,90,2.561548630437233,4.869478224397561,84,-2.1343454939692585,1.7658075233057915,0.9001306736769047,0.24509783122928283,9.98693263230953,0.05189620758483034,
