file,row,asset,tp1_mult,tp2_mult,tp3_mult,reason
outputs/cluster_paramloss.csv,6,ETH,3.0,7.0,6.0,non_increasing
outputs/cluster_paramloss.csv,7,AVAX,3.0,7.0,6.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,3,JOE,4.25,3.0,5.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,4,JOE,5.0,8.0,4.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,5,JOE,5.0,3.0,7.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,6,JOE,4.5,9.5,9.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,7,TON,1.75,11.5,8.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,8,TON,5.0,4.0,7.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,9,TON,3.75,11.5,8.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,10,TON,2.75,9.0,6.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,11,TON,2.75,8.0,6.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,12,DOGS,4.0,3.0,10.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,13,DOGS,4.75,3.0,2.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,14,DOGS,4.0,3.0,8.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,15,DOGS,4.0,3.0,9.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,16,DOGS,4.5,3.0,8.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,17,RUNE,3.0,8.5,6.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,18,RUNE,2.75,7.5,5.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,19,RUNE,4.5,10.0,8.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,20,RUNE,5.0,11.0,8.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,21,RUNE,5.0,3.0,8.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,23,AXS,5.0,3.0,4.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,25,AXS,1.75,11.0,9.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,26,AXS,1.75,9.0,4.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,27,CAKE,5.0,3.0,6.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,28,CAKE,4.75,3.0,9.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,29,CAKE,3.0,12.0,8.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,30,CAKE,3.75,10.5,5.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,31,CAKE,4.75,10.5,7.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,32,KSM,4.75,3.0,4.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,34,KSM,1.5,8.5,2.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,36,KSM,1.75,11.0,9.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,37,LOOM,4.25,9.0,5.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,38,LOOM,5.0,3.5,6.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,39,LOOM,4.75,3.5,9.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,41,LOOM,4.0,7.5,2.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,42,MINA,4.75,3.0,4.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,43,MINA,5.0,3.0,3.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,44,MINA,4.0,3.0,10.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,45,MINA,5.0,3.0,7.0,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,46,MINA,3.0,9.0,4.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,47,OSMO,2.0,8.5,6.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,48,OSMO,3.75,3.0,6.5,non_increasing
outputs/displacement_grid_batch3_20260121_210728.csv,49,OSMO,4.75,3.0,6.0,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,3,ETH,4.75,3.0,4.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,4,XRP,5.0,3.5,10.0,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,5,AVAX,1.5,10.5,8.0,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,6,UNI,4.5,3.0,9.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,7,SUI,5.0,12.0,8.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,8,SEI,4.75,3.0,9.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,10,INJ,2.0,12.0,3.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,11,TIA,4.0,3.5,6.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,12,ATOM,2.5,8.5,7.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,13,ARB,5.0,11.5,9.5,non_increasing
outputs/multi_asset_scan_20260120_1603.csv,14,HYPE,5.0,9.5,7.0,non_increasing
outputs/multi_asset_scan_20260121_0702.csv,2,BNB,5.0,3.0,7.5,non_increasing
outputs/multi_asset_scan_20260121_0702.csv,3,ADA,4.0,3.0,10.0,non_increasing
outputs/multi_asset_scan_20260121_0702.csv,4,NEAR,5.0,3.0,6.0,non_increasing
outputs/multi_asset_scan_20260121_0702.csv,5,RENDER,3.75,6.0,5.0,non_increasing
outputs/multi_asset_scan_20260121_0702.csv,6,XLM,5.0,3.0,8.5,non_increasing
outputs/multi_asset_scan_20260121_0712.csv,2,ETH,3.75,3.0,9.0,non_increasing
outputs/multi_asset_scan_20260121_0938.csv,2,BNB,5.0,3.0,7.5,non_increasing
outputs/multi_asset_scan_20260121_1029.csv,2,FTM,1.75,8.0,3.0,non_increasing
outputs/multi_asset_scan_20260121_1038.csv,2,RENDER,3.75,6.0,5.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,2,SOL,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,3,XRP,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,4,BNB,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,5,ADA,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,6,DOGE,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,7,DOT,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,8,LINK,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,9,MATIC,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,10,SHIB,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,11,LTC,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,12,ATOM,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,13,XLM,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,14,NEAR,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,15,FIL,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1555.csv,16,ARB,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,26,VELO,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,63,HNT,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,64,MOBILE,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,65,IOT,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,70,AIOZ,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,72,GROK,0.0,0.0,0.0,non_increasing
outputs/multi_asset_scan_20260121_1751.csv,76,MYRO,0.0,0.0,0.0,non_increasing
